Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10382744294	,1N4AZ1BV4PC563222 From DENVER CO 80234 To AURORA CO 80011 Operable,08-APR-25,80.00,USD,,0.00,80.00,80.00,BASE,1N4AZ1BV4PC563222,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10382744294	,1N4AZ1BV4PC563222 From DENVER CO 80234 To AURORA CO 80011 Operable,08-APR-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N4AZ1BV4PC563222,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10381176600	,1FTMF1EB7KKE51403 From WESTMINSTER CO 80234 To AURORA CO 80011 Operable,08-APR-25,100.00,USD,,0.00,100.00,100.00,BASE,1FTMF1EB7KKE51403,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10381176600	,1FTMF1EB7KKE51403 From WESTMINSTER CO 80234 To AURORA CO 80011 Operable,08-APR-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1FTMF1EB7KKE51403,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10381176609	,1FTMF1CB7KKD48226 From WESTMINSTER CO 80234 To AURORA CO 80011 Operable,08-APR-25,100.00,USD,,0.00,100.00,100.00,BASE,1FTMF1CB7KKD48226,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10381176609	,1FTMF1CB7KKD48226 From WESTMINSTER CO 80234 To AURORA CO 80011 Operable,08-APR-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1FTMF1CB7KKD48226,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10380852658	,W1W4NBHY9RT178806 From WESTMINSTER CO 80020 To AURORA CO 80011 Operable,08-APR-25,138.44,USD,,0.00,138.44,138.44,BASE,W1W4NBHY9RT178806,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10381179478	,1GCRYAEF5LZ101683 From HENDERSON CO 80640 To AURORA CO 80011 Operable,08-APR-25,125.00,USD,,0.00,125.00,125.00,BASE,1GCRYAEF5LZ101683,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10381179478	,1GCRYAEF5LZ101683 From HENDERSON CO 80640 To AURORA CO 80011 Operable,08-APR-25,125.00,USD,,0.00,125.00,0.00,Fuel Surcharge Per Mile,1GCRYAEF5LZ101683,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10378023872	,KNAFE121845032806 From WESTMINSTER CO 80005 To AURORA CO 80011 Operable,08-APR-25,80.00,USD,,0.00,80.00,80.00,BASE,KNAFE121845032806,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10381179484	,1GCHTCEA6N1115930 From HENDERSON CO 80640 To AURORA CO 80011 Operable,08-APR-25,100.00,USD,,0.00,100.00,100.00,BASE,1GCHTCEA6N1115930,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10381179484	,1GCHTCEA6N1115930 From HENDERSON CO 80640 To AURORA CO 80011 Operable,08-APR-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1GCHTCEA6N1115930,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10381232673	,SALWV2FE1HA151955 From LAKEWOOD CO 80214 To AURORA CO 80011 Operable,07-APR-25,85.00,USD,,0.00,85.00,85.00,BASE,SALWV2FE1HA151955,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10381179480	,1GCRYAEH5KZ390810 From HENDERSON CO 80640 To AURORA CO 80011 Operable,08-APR-25,125.00,USD,,0.00,125.00,125.00,BASE,1GCRYAEH5KZ390810,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62448666,09-APR-25,USD,933.44,10381179480	,1GCRYAEH5KZ390810 From HENDERSON CO 80640 To AURORA CO 80011 Operable,08-APR-25,125.00,USD,,0.00,125.00,0.00,Fuel Surcharge Per Mile,1GCRYAEH5KZ390810,,,,,

