April-July,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
4/2/2025,Empire RV & Marine,TX,TX,LONGHORN,$400.00,,
4/4/2025,Beeline,TX,AZ,20401105,"$1,900.00",,
4/5/2025,Beeline,NM,AZ,20393114,"$1,200.00",,
4/17/2025,LynJones,AR,OK,20564708,$800.00,,
4/18/2025,Green Country,OK,OK,COPART,$400.00,??,
4/18/2025,LTS,OK,AR,30420617LT,$400.00,,
4/26/2025,Monarch,NV,CO,20709406,"$1,000.00",,
4/30/2025,Empire RV & Marine,CO,TX,DRV,"$1,500.00",,
5/9/2025,Movewheels,OK,CA,5450315,"$1,950.00",,
5/15/2025,Nationwide United,LA,NV,35661424 / 6263 Gooseneck Camper,"$3,000.00",,
6/3/2025,CNC Motors,WA,OR,2019 Forest 5th Wheel,$400.00,,
6/6/2025,We Will Transport It,CO,CO,21167508,$320.00,,
6/7/2025,Empire RV & Marine,CO,TX,Jayco,"$1,800.00",,
6/9/2025,South Bay,TX,CA,326062,"$2,150.00",,
6/12/2025,Simple Car Shipping,TX,TC,21188724,"$1,050.00",,
6/24/2025,One Call,OK,OK,PCRV-004257,$400.00,10.00,$390.00
6/25/2025,One Call,OK,OK,PCRV-781153,$400.00,10.00,$390.00
6/26/2025,One Call,OK,OK,PCRV-106299,$400.00,10.00,$390.00
7/3/2025,Ready,OKC,Tulsa,10427292525,$182.00,7/4??,
7/11/2025,United,OK,OK,83268903,$255.00,1.75,$253.25
7/11/2025,CarsArrive,Tulsa,Piedmont,20802049,$170.00,,
7/11/2025,CarsArrive,OKC,Tulsa,20803608,$150.00,,
,,,,,"$20,195.25",,
,,,,,"$3,029.29",,
,,,,,"$2,634.29",,
,,,,6/23-6/27 Pay,$219.00,,
,,,,Leftover from 6/27,"$2,415.29",,
,,,,7/1-7/4 Pay,$429.76,,
,,,,Leftover from  7/14,"$1,985.53",,
,,,,7/7-7/11 Pay,$677.11,,
,,,,Leftover from  7/11,"$1,308.42",,
,,,,7/14,$677.11,,
,,,,Leftover from 7/14,$631.31,,
,,,,7/28,$631.31,,
,,,,All paid up 7/28,$0.00,,
