August,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
8/1/2025,Legends Auto Sales,Sapulpa,OKC,OKWT tulsa,$200.00,,Check
8/1/2025,CarsArrive,Tulsa,OKC,20915198,$175.00,,
,,,,,,,
8/4/2025,Expedited,OKC,Tulsa,EF-69271,$125.00,,
8/4/2025,United,OKC,Tulsa,83755201,$150.00,,
8/4/2025,United,OKC,Tulsa,83755171,$150.00,,
8/5/2025,Sakaem Logistics,Tulsa,Edmond,36141192,$250.00,,Cash
8/5/2025,Carvana,OKC,OKC,130908,$100.80,,
8/5/2025,Carvana,OKC,OKC,131175,$96.00,,
8/5/2025,Carvana,Sapulpa,OKC,131176,$172.80,,
8/7/2025,CarsArrive,OKC,Broken Arrow,20942199,$180.00,,
8/7/2025,United,OKC,Broken Arrow,83829674,$275.00,,
8/7/2025,CarsArrive,Claremore,OKC,20937743,$200.00,,
8/6/2025,RPM,OKC,Tulsa,31540-48280,$345.00,,
8/8/2025,RPM,Tulsa,Norman,31591-00508,$190.00,,
8/8/2025,RPM,Norman,Tulsa,31510-34970,$125.00,,
8/8/2025,CarsArrive,Edmond,Haskell,20942281,$205.00,,
8/9/2025,CarsArrive,Norman,Tulsa,20952928,$190.00,,
8/11/2025,United,OKC,Tulsa,83867925,$338.19,,
8/11/2025,RPM,Tulsa,OKC,31516-15445,$375.00,,
8/11/2025,Carvana,Tulsa,OKC,131947,$259.00,,
8/11/2025,Carvana,Sapulpa,OKC,132424,$110.00,,
8/12/2025,United,OKC,Tulsa,83874162,$313.67,,
8/12/2025,RPM,Tulsa,OKC,31545-60501,$375.00,,
8/12/2025,RPM,OKC,Norman,31573-97487,$225.00,,
8/12/2025,RPM,OKC,OKC,31503-75968,$75.00,,
8/7/2025,Anew Transport,Tulsa,OKC,31464-33935,$200.00,,
8/8/2025,Anew Transport,Tulsa,OKC,31448-64178,$225.00,,
8/11/2025,Carvana,Tulsa,OKC,131947,$259.00,,
8/11/2025,Carvana,Sapulpa,OKC,132424,$110.00,,
8/12/2025,RPM,OKC,Norman,31581-37954,$75.00,,
8/13/2025,Montway,OKC,Tulsa,219069,$175.00,,
8/13/2025,Interstate Brokers,OKC,Sapulpa,F8254903,$150.00,,
8/13/2025,Acertus,Moore,Tulsa,14296751,$200.00,,
8/13/2025,CarsArrive,Tulsa,Norman,20953950,$185.00,,
8/13/2025,CarsArrive,Tulsa,Norman,20955781,$205.00,,
8/13/2025,Chaco's Auto Sales,Tulsa,OKC,0611,$190.00,,
8/14/2025,United,OKC,Tulsa,83897027,$341.92,,
8/14/2025,Ready,Claremore,Norman,10448378333,$160.00,8/16?,
8/14/2025,Chaco's Auto Sales,Glenpool,OKC,6638,$190.00,,
8/14/2025,Chaco's Auto Sales,Tulsa,OKC,8565,$150.00,,
8/15/2025,Acertus,Moore,Tulsa,14332027,$160.00,,
8/15/2025,One Call Logistics,Catoosa,Sand Springs,JARB918,$400.00,,
8/15/2025,CarsArrive,Tulsa,Norman,20970268,$180.00,,
,,,,,,,
8/18/2025,Anew Transport,Edmond,OKC,31409-55437,,,DRF
8/18/2025,Expedited,OKC,Tulsa,EF-71165D,$330.00,,
8/18/2025,RPM,Tulsa,Norman,31531-26262,$390.00,,
8/19/2025,CarsArrive,Edmond,Tulsa,20979887,$145.00,,
8/19/2025,RPM,OKC,Tulsa,31552-25485,$250.00,,
8/19/2025,RPM,Tulsa,OKC,31532-02093,$375.00,,
8/20/2025,Acertus,Moore,Yukon,14338399,$125.00,,
8/20/2025,Acertus,OKC,OKC,14394067,$115.00,,
8/20/2025,Acertus,Moore,Guthrie,14338383,$125.00,,
8/20/2025,Acertus,Moore,Stillwater,14332179,$250.00,,
8/15/2025,RPM,Tulsa,Norman,31584-21850,$150.00,,
8/21/2025,CarsArrive,Norman,Tulsa,20980556,$140.00,,
8/21/2025,RPM,Tulsa,Norman,31505-44178,$260.00,,
8/25/2025,Expedited,OKC,Tulsa,EF-71514,$345.00,,
8/25/2025,RPM,Tulsa,Norman,31511-07657,$190.00,,f
8/25/2025,RPM,Tulsa,Norman,31516-60990,$350.00,,
8/26/2025,RPM,OKC,Norman,31582-22724,$263.00,,
8/26/2025,RPM,OKC,Norman,31519-81770,$105.00,,
8/26/2025,RPM,Norman,OKC,31591-86213,$100.00,,
8/27/2025,CarsArrive,Edmond,Tulsa,21016834,$170.00,,
8/27/2025,CarsArrive,Edmond,Tulsa,21015920,$185.00,,
8/27/2025,Expedited,OKC,Tulsa,EF-72127,$115.00,,
8/27/2025,RPM,Tulsa,OKC,31547-86879,$400.00,,
8/28/2025,RPM,OKC,Norman,31536-89073,$92.00,,
8/28/2025,RPM,OKC,OKC,31510-97060,$262.00,,
8/28/2025,RPM,Norman,OKC,31576-04591,$375.00,,
8/28/2025,RPM,OKC,Norman,31531-13602,$335.00,,
8/21/2025,RPM,Norman,Tulsa,31577-69431,$140.00,,
8/21/2025,RPM,Norman,Tulsa,31522-65410,$130.00,,
,,,,,,,
,,,,,,,
8/14/2025,RC Logistics LLC,Tulsa,Sapulpa,077465S ,$150.00,,
