July,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
7/9/2025,United,OKC,OKC,83411118,$325.00,,
7/10/2025,United,OKC,OKC,83411117,$325.00,,
7/11/2025,Expedited,Yukon,Sapulpa,SGLB-3590-NBA27494,$125.00,,
7/11/2025,CarsArrive,OKC,Tulsa,20803502,$160.00,,
7/11/2025,Competition Auto,Norman,Tulsa,6783011,$150.00,,
7/11/2025,Carvana,Sapulpa,PLC,126613,$330.00,,
7/14/2025,United,OKC,OKC,83339322,$118.12,,
7/14/2025,United,OKC,Guthrie,83498353,$134.11,,
7/14/2025,United,Norman,OKC,83504709,$170.00,,
7/14/2025,Ready,OKC,OKC,10432640195,$85.00,7/15?,
7/17/2025,Expedited,OKC,Tulsa,EF-67522,$375.00,,
7/17/2025,Carvana,Tulsa,OKC,127923,$110.00,,
7/18/2025,Expedited,OKC,Tulsa,EF-67522D,$300.00,,
7/18/2025,CarsArrive,Glenpool,OKC,20864382,$160.00,,
7/18/2025,Carvana,Tulsa,OKC,128247,$132.00,,
7/18/2025,Corsia Logistics,Bixby,OKC,403954,$300.00,,
7/18/2025,United,Tulsa,Norman,83555398,$110.00,,
7/22/2025,Carvana,Jenks,Tulsa,128646,$120.00,,
7/22/2025,United,OKC,Tulsa,83594329,$312.02,,
7/22/2025,United,Tulsa,Norman,83594964,$375.00,,
7/24/2025,Expedited,OKC,Tulsa,EF-67783D,$125.00,,
7/24/2025,CarsArrive,OKC,Broken Arrow,20885550,$180.00,,
7/24/2025,A&M Automall,OKC,Tulsa,7028703,$150.00,,Check
7/24/2025,Carvana,OKC,OKC,128918,$80.00,,
7/25/2025,United,OKC,Tulsa,83642707,$600.00,,
7/25/2025,United,OKC,Tulsa,83646427,$600.00,,
7/26/2025,United,OKC,Tulsa,83642708,$600.00,,
7/26/2025,United,Tulsa,OKC,83656668,$100.00,,
7/28/2025,We Will Transport It,Morrison,OKC,21701437,$300.00,,Zelle
7/28/2025,Anew Transport,OKC,Guthrie,31436-06018,$150.00,,
7/28/2025,CarsArrive,Edmond,OKC,20902003,$105.00,,
7/28/2025,United,OKC,OKC,83672587,$80.00,,
7/28/2025,United,OKC,Norman,83689069,$200.00,,
7/28/2025,United,OKC,Norman,83689071,$200.00,,
7/29/2025,United,Midwest,OKC,83317733,$125.00,,
7/29/2025,United,Norman,OKC,83704513,$80.00,,
7/30/2025,United,OKC,Tinker AFB,83718835,$225.00,,
7/30/2025,American Lenders,OKC,Tulsa,7131403,$250.00,,Check mailed to me
7/31/2025,Expedited,OKC,Tulsa,EF-69274,$375.00,,
7/31/2025,Carvana,Sapulpa,OKC,130438,$120.00,,
7/31/2025,Carvana,Tulsa,OKC,129816,$132.00,,
