March,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
3/4/2025,Express 4x4,OKC,OKC,ETR12151,$100.00,3/10,
3/4/2025,Express 4x4,OKC,OKC,ETR12150 ,$100.00,3/10,
3/4/2025,Express 4x4,Norman,OKC,ETR12149,$150.00,3/10,
3/4/2025,CarsArrive,Norman,OKC,20358538,$95.00,3/10,
3/5/2025,Ready,El Reno,OKC,10366787452,$165.00,3/6,208.15 - 3/11
3/5/2025,CarsArrive,Norman,OKC,20387444,$95.00,3/10,
3/5/2025,CarsArrive,Edmond,OKC,20358539,$90.00,,
3/5/2025,Verily,OKC,OKC,LP106050,$200.00,3/10,
3/6/2025,Nationwide United,Sawyer,Moore,101335 / 6185,$700.00,3/7,
3/6/2025,United,OKC,Yukon,81565655,$166.66,3/12,
3/7/2025,ACV,Norman,OKC,98427340,$90.00,,
3/7/2025,United,OKC,OKC,81579850,$140.00,,
3/7/2025,ACV,Midwest,OKC,30939364,$85.00,,
3/8/2025,United,OKC,Cushing,81156126,$175.00,,
3/8/2025,Carvana,Wellston,OKC,102915,$155.52,,
3/8/2025,United,OKC,OKC,81617623,$140.00,,
3/10/2025,Ready,Norman,Tulsa,10366126559,$208.15,3/11?,
3/10/2025,Expedited,OKC,Tulsa,EF-56625,$300.00,,
3/10/2025,Carvana,Sapulpa,OKC,103418,$240.00,,
3/11/2025,Express 4x4,OKC,Sapulpa,ETR12313 ,$125.00,,
3/11/2025,Broadreach,OKC,Tulsa,30285,$175.00,,
3/11/2025,ACV,OKC,Tulsa,43101461,$165.00,,
3/11/2025,KB Freight,Tulsa,Norman,LF240007B ,$115.00,,
3/11/2025,CarsArrive,Tulsa,OKC,20400966,$160.00,,
3/11/2025,Redline Motorsports,Sapulpa,OKC,4634542,$150.00,,
3/12/2025,United,OKC,OKC,81672882,$75.00,,
3/12/2025,United,Midwest,OKC,81620672,$80.00,,
3/12/2025,United,Edmond,OKC,81654549,$75.00,,
3/12/2025,Carvana,OKC,OKC,103839,$90.00,,
3/13/2025,Expedited,OKC,Tulsa,EF-57074,$375.00,3/19,
3/13/2025,Anew Tansport,Broken Arrow,OKC,31451-02855,$275.00,,
3/13/2025,Anew Tansport,Sapulpa ,OKC,31488-38024,$115.00,,
3/14/2025,Ready,OKC,OKC,10371705745,$73.98,5/15?,
3/14/2025,Ready,OKC,OKC,10371705786,$73.98,5/15?,
3/14/2025,United,OKC,OKC,81672882,$75.00,,
3/14/2025,United,OKC,OKC,81654549,$75.00,,
3/14/2025,United,OKC,OKC,81620672,$80.00,,
3/14/2025,CarShipCentral,OKC,OKC,5385695,$300.00,,
3/17/2025,ACV,OKC,Tulsa,48109082,$175.00,,
3/17/2025,CarsArrive,Edmond,Tulsa,20418730,$160.00,3/27,
3/17/2025,CarsArrive,Midwest,Tulsa,20415056,$145.00,3/27,
3/17/2025,Central,Tulsa,OKC,10371950289,$135.00,,
3/17/2025,Direct Connect,Tulsa,Salpulpa,5667977,$125.00,3/20,
3/17/2025,Xpress Auto,Tulsa,OKC,30562947-XT,$175.00,,
3/18/2025,CarsArrive,OKC,OKC,20389496,$100.00,3/27,
3/18/2025,CarsArrive,OKC,OKC,20433982,$75.00,3/27,
3/18/2025,Central,OKC,OKC,10372490581,$75.00,,
3/18/2025,Carvana,OKC,OKC,104641,$180.00,,
3/19/2025,Acertus,OKC,OKC,12583881,$150.00,,
3/19/2025,Verily,OKC,OKC,LP106402,$150.00,,
3/20/2025,Logi Transports,Tishomingo,Okmulgee,20243518,$300.00,,
3/20/2025,Verily,OKC,OKC,LP106496,$200.00,,
3/20/2025,Verily,OKC,OKC,VS914479DNI,$200.00,,
3/21/2025,CarsArrive,Midwest,Tulsa,20443033,$135.00,3/27,
3/21/2025,CarsArrive,Edmond,Tulsa,20443177,$160.00,3/27,
3/21/2025,CarsArrive,Broken Arrow,Tulsa,20436147,$105.00,3/27,
3/21/2025,CarsArrive,Broken Arrow,Tulsa,20436148,$105.00,3/27,
3/25,One Call,Oklahoma,Nevada,ENRVC-SK,"$1,900.00",3/27,
3/27,Monarch,Nevada,Washington,35453069,$850.00,,
3/29,Preowned,Idaho,Colorado,627908,$753.00,4/4,
3/31,RCG,Washington,Colorado,RN19213A,"$1,400.00",4/4,
