Rich - Little,,,,,,,
October,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
10/1/2025,RPM,Tulsa,OKC,31594-20217,$130.00,,
10/1/2025,RPM,Tulsa,OKC,31582-17506,$175.00,,
10/1/2025,Ready,Tulsa,OKC,10473964273,$130.00,,
10/1/2025,United,Edmond,OKC,84532072,$75.00,,
10/1/2025,United,OKC,OKC,84532068,$75.00,,
10/2/2025,RPM,OKC,OKC,31565-16521,$90.00,,
10/1/2025,Auction Direct,OKC,Tulsa,227378,$300.00,,
10/2/2025,CarsArrive,Edmond,Claremore,21162660,$205.00,,
10/3/2025,United,OKC,Broken Arrow,84570434,$124.84,,
10/1/2025,CarsArrive,Midwest,Tulsa,21153023,$175.00,,
10/1/2025,RPM,OKC,Tulsa,31544-10482,$390.00,,
10/6/2025,Acertus,Moore,Norman,14935725,$150.00,,
10/6/2025,Acertus,Moore,OKC,14934141,$100.00,,
10/6/2025,RPM,OKC,Tulsa,31561-61121,$200.00,,
10/6/2025,Acertus,Moore,Tulsa,14935327,$170.00,,
10/6/2025,RPM,Tulsa,OKC,31506-87785,$342.00,,
10/8/2025,RPM,Tulsa,Norman,31565-43419,$130.00,,
10/8/2025,RPM,OKC,Norman,31520-08615,$75.00,,
10/8/2025,RPM,OKC,Tulsa,31578-97643,$390.00,,
10/9/2025,RPM,OKC,Tulsa,31526-42527,$260.00,,
10/9/2025,Carvana,OKC,Sapulpa,143968,$135.00,,
10/9/2025,RPM,Tulsa,OKC,31577-18357,$170.00,,
10/9/2025,RPM,OKC,Norman,31548-64811 ,$225.00,,need new rate con
10/13/2025,Expedited Transport,Sapulpa,Tulsa,NisTul-1710,$100.00,,
10/13/2025,L&R Brokers,Sapulpa,Yukon,C17009,$250.00,,
10/13/2025,L&R Brokers,Sapulpa,Yukon,B88648,$250.00,,
10/14/2025,RCG,OKC,Tulsa,RP82481A,$130.00,,
10/14/2025,RPM,OKC,Tulsa,31588-77706,$310.00,,
10/15/2025,United,Broken Arrow,OKC,84730985,$135.00,,
10/15/2025,United,Tulsa,OKC,84705345,$125.00,,
10/15/2025,Carvana,Tulsa,OKC,144630,$125.00,,
10/16/2025,Carvana,Norman,OKC,143704,$108.00,,
10/16/2025,Carvana,OKC,OKC,144474,$93.60,,
10/16/2025,Carvana,OKC,OKC,144341,$120.96,,
10/17/2025,CarsArrive,OKC,Tulsa,21220058,$170.00,,
10/17/2025,Ready,OKC,OKC,10482527870,$101.04,,
10/17/2025,Ready,OKC,OKC,10482546330,$90.24,,
10/17/2025,L&R Brokers,Sapulpa,Yukon,808499,$250.00,,
10/20/2025,RCG,OKC,Tulsa,RP82489A,$130.00,,
10/20/2025,L&R Brokers,Yukon,Sapulpa,EF13799,$250.00,,
10/20/2025,CarsArrive,Claremore,OKC,21232166,$180.00,,
10/21/2025,Mab Movers,Tulsa,OKC,22563269,$200.00,,Cash
10/21/2025,Carvana,Tulsa,OKC,144839,$120.00,,
10/21/2025,Ready,Tulsa,Tulsa,10485426990,$112.00,,
10/22/2025,Ship Your Car Now,OKC,Tulsa,12992323,$137.00,,
10/22/2025,Ship Your Car Now,OKC,Tulsa,12992400,$150.00,,
10/22/2025,Ship Your Car Now,OKC,Tulsa,12992402,$150.00,,
10/23/2025,Carvana,Tulsa,OKC,146050,$130.00,,
10/23/2025,Carvana,Tulsa,OKC,146070,$240.00,,
10/23/2025,Ship Your Car,OKC,Tulsa,12992646,$150.00,,
10/23/2025,Ship Your Car,OKC,Tulsa,12992403,$150.00,,
10/23/2025,Ship Your Car,OKC,Tulsa,12992401,$150.00,,
10/24/2025,RCG,Tulsa,El Reno,15135055,$170.00,,
10/24/2025,RCG,Tulsa,El Reno,15135019,$170.00,,
10/24/2025,RCG,Tulsa,El Reno,15135053,$170.00,,
10/24/2025,Ship Your Car,OKC,Tulsa,12992645,$150.00,,
,,,,,,,
,,,,,,,
10/13/2025,Montway,OKC,Broken Arrow,3034296,$500.00,,
10/16/2025,Montway,Tulsa,OKC,3041359,$125.00,,
10/16/2025,Montway,OKC,Sapulpa,3001026,$250.00,,
,,,,,,,
