Rich - Little,,,,,,,
September,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
8/6/2025,RC Logistics LLC,Tulsa,Sapulpa,F00107R,$100.00,,
9/2/2025,Nationwide Transport,Edmond,Tulsa,OKTUL,$250.00,,
9/2/2025,RPM,Norman,Tulsa,31502-63995,$190.00,,
9/2/2025,Nationwide Transport,Tulsa,Edmond,YULOKKAL,$250.00,,
9/2/2025,BS Auto Logistics,Tulsa,OKC,784075,$150.00,,
9/3/2025,United,OKC,OKC,84134172,$90.00,,
9/3/2025,United,OKC,OKC,84147747,$80.00,,
9/3/2025,United,Edmond,OKC,84174830,$75.00,,
9/3/2025,United,Edmond,OKC,84174832,$75.00,,
9/4/2025,RPM,OKC,Tulsa,31524-17135,$300.00,,
9/4/2025,RPM,Norman,Tulsa,31567-91578,$196.00,,
9/4/2025,RPM,Tulsa,OKC,31599-58243,$430.00,,
9/4/2025,RPM,OKC,Norman,31560-53386,$263.00,,no POD
9/5/2025,CarsArrive,Edmond,Broken Arrow,21040964,$170.00,,
9/5/2025,Ship Guy Logistics,Tulsa,OKC,30527503-XL,$225.00,Cash,
9/5/2025,United,Broken Arrow,OKC,84209453,$112.91,,
9/5/2025,Montway,Tulsa,Edmond,2976542,$180.00,,
9/5/2025,RPM,OKC,OKC,31530-78113,$177.00,,
9/6/2025,RPM,OKC,OKC,31526-74624,$347.00,,
9/6/2025,RPM,OKC,OKC,31521-98241,$176.00,,
9/6/2025,United,OKC,OKC,84200734,$77.00,,
9/6/2025,United,OKC,OKC,84202446,$160.00,,
9/9/2025,Payless,OKC,Sapulpa,PJ82164,$250.00,,
9/9/2025,CarsArrive,Edmond,Broken Arrow,21061996,$165.00,,
9/9/2025,Central,Sapulpa,OKC,10461287697,$120.00,,f
9/9/2025,CarsArrive,Broken Arrow,Edmond,21064087,$185.00,,
9/11/2025,RPM,OKC,OKC,138219,$138.24,,
9/11/2025,RPM,OKC,OKC,31577-29178,$176.00,,
9/11/2025,RPM,OKC,OKC,31540-10524,$90.00,,
9/11/2025,RPM,OKC,Norman,31559-83823,$263.00,,
9/12/2025,CarsArrive,OKC,Tulsa,21076074,$185.00,,
9/12/2025,CarsArrive,Edmond,Broken Arrow,21080452,$185.00,,
