April,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
4/3/2025,Acertus,Sheridan,Denver,12603059,$270.00,4/21,
4/3/2025,Acertus,Commerce City,Denver,12712675,$80.00,4/8,
4/3/2025,Acertus,Commerce City,Denver,12712671,$80.00,4/8,
4/3/2025,Acertus,Commerce City,Denver,12712667,$80.00,4/8,
4/3/2025,Acertus,Commerce City,Denver,12712663,$80.00,4/8,
4/4/2025,RCG,Littleton,Bennett,RN30625A,$75.00,4/9,
4/4/2025,RCG,Littleton,Bennett,RN30628A ,$75.00,4/8,
4/4/2025,RCG,Littleton,Bennett,RN30626A ,$75.00,4/9,
4/4/2025,Ready,Thornton ,Aurora,10380667408,$130.00,4/5?,
4/4/2025,Ready,Denver ,Aurora,10382744250,$80.00,4/8?,
4/4/2025,Ready,Denver ,Aurora,10381548267,$71.23,4/5?,
4/4/2025,Acertus,Parker ,Denver,12734881,$100.00,4/8,
4/4/2025,Ready,Parker ,Aurora,10383076696,$93.82,4/8?,
4/5/2025,United,Golden,Federal Heights,81753682,$240.00,4/9,
4/5/2025,United,Golden,Federal Heights,82061449,$240.00,4/9,
4/7/2025,RCG,Littleton,Bennett,RN32951A,$75.00,4/11,
4/7/2025,Ready,Littleton,Aurora,10382282333,$80.57,,
4/7/2025,Ready,Littleton,Aurora,10383554915,DRF,$50,Vehicle not there
4/7/2025,Ready,Littleton,Aurora,10383947904,Inop ,$50,Need to report unexpected inop
4/7/2025,Ready,Englewood,Aurora,10382534905,$74.49,4/8?,
4/7/2025,Ready,Westminster,Aurora,10381176609,$100.00,4/9?,
4/7/2025,Ready,Westminster,Aurora,10381176600,$100.00,4/9?,
4/7/2025,Ready,Denver ,Aurora,10382744294,$80.00,4/9?,
4/8/2025,Acertus,Englewood,Denver,12735079,$90.00,4/16,
4/8/2025,Acertus,Denver,Denver,12674293,$100.00,4/21,
4/8/2025,Carvana,Englewood,Denver,107124,$92.40,4/11,
4/8/2025,Ready,Centennial,Aurora,10381535283,$77.69,4/10?,
4/8/2025,Ready,Centennial,Aurora,10381534907,$77.69,4/10?,
4/8/2025,Ready,Englewood,Aurora,10383616088,$77.69,4/10?,
4/8/2025,Ready,Centennial,Aurora,10385592493,$77.69,4/10?,
4/8/2025,Ready,Centennial,Aurora,10385592488,$77.69,4/10?,
