August,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
8/1/2025,RCG,Littleton,Bennett,RP31518A,$75.00,,
8/1/2025,RCG,Littleton,Bennett,RP32206A,$75.00,,
8/1/2025,RCG,Littleton,Bennett,RP32207A,$75.00,,
8/1/2025,RCG,Littleton,Bennett,RP31513A,$75.00,,
8/1/2025,RCG,Littleton,Bennett,RP33547A,$75.00,,
8/1/2025,RCG,Littleton,Bennett,RP33548A,$75.00,,
8/1/2025,RCG,Littleton,Bennett,RP33545A,$75.00,,
8/1/2025,RCG,Littleton,Bennett,RP33544A,$75.00,,
8/4/2025,RCG,Denver,Bennett,RP32290A,$72.00,,
8/4/2025,RCG,Denver,Bennett,RP34720A,$72.00,,
8/4/2025,RCG,Denver,Bennett,RP32288A,$72.00,,
8/4/2025,RCG,Denver,Bennett,RP34716A,$72.00,,
8/4/2025,Expedited,Denver,Lakewood,EF-69429,$150.00,,
8/5/2025,RCG,Denver,Bennett,RP32289A,$72.00,,
8/5/2025,RCG,Denver,Bennett,RP34718A,$72.00,,
8/5/2025,RCG,Denver,Bennett,RP34721A,$72.00,,
8/5/2025,RCG,Denver,Bennett,RP32873A,$72.00,,
8/5/2025,Ready,Denver,Aurora,10443078848,$80.00,,
8/5/2025,Ready,Denver,Aurora,10445596675,$80.00,,
8/5/2025,Ready,Denver,Aurora,10443078593,$80.00,,
8/6/2025,RCG,Denver,Bennett,RP32285A,$72.00,,
8/6/2025,RCG,Denver,Bennett,RP32284A,$72.00,,
8/6/2025,RCG,Denver,Bennett,RP32286A,$72.00,,
8/6/2025,RCG,Denver,Bennett,RP34717A,$72.00,,
8/6/2025,RCG,Littleton,Bennett,RP36237A,$75.00,,
8/6/2025,RCG,Littleton,Bennett,RP36239A,$75.00,,
8/6/2025,RCG,Littleton,Bennett,RP36225A,$75.00,,
8/6/2025,RCG,Littleton,Bennett,RP36246A,$75.00,,
8/15/2025,RCG,Littleton,Bennett,RP40989A,$75.00,,
8/15/2025,RCG,Littleton,Bennett,RP40996A,$75.00,,
8/15/2025,RCG,Littleton,Bennett,RP42783A,$75.00,,
8/15/2025,RCG,Littleton,Bennett,RP40998A,$75.00,,
8/15/2025,RCG,Littleton,Bennett,RP42789A,$75.00,,
8/15/2025,RCG,Littleton,Bennett,RP42779A,$75.00,,
8/15/2025,RCG,Littleton,Bennett,RP40999A,$75.00,,
8/15/2025,RCG,Littleton,Bennett,RP40983A,$75.00,,
8/16/2025,RCG,Littleton,Bennett,RP42778A,$75.00,,
8/16/2025,RCG,Littleton,Bennett,RP42782A,$75.00,,
8/16/2025,RCG,Littleton,Bennett,RP42796A,$75.00,,
8/16/2025,RCG,Littleton,Bennett,RP40995A,$75.00,,
8/18/2025,RCG,Littleton,Bennett,RP42778A,$75.00,,
8/18/2025,RCG,Littleton,Bennett,RP42782A,$75.00,,
8/18/2025,RCG,Littleton,Bennett,RP42796A,$75.00,,
8/18/2025,RCG,Littleton,Bennett,RP40995A,$75.00,,
8/19/2025,RCG,Littleton,Bennett,RP42790A,$75.00,,
8/19/2025,RCG,Littleton,Bennett,RP42781A,$75.00,,
8/19/2025,RCG,Littleton,Bennett,RP42792A,$75.00,,
8/19/2025,RCG,Littleton,Bennett,RP42785A,$75.00,,
8/19/2025,RCG,Littleton,Bennett,RP42780A,$75.00,,
8/19/2025,RCG,Littleton,Bennett,RP42784A,$75.00,,
8/19/2025,RCG,Littleton,Bennett,RP42795A,$75.00,,
8/19/2025,RCG,Littleton,Bennett,RP42797A,$75.00,,
8/20/2025,RCG,Littleton,Bennett,RP42787A,$75.00,,
8/20/2025,RCG,Littleton,Bennett,RP42791A,$75.00,,
8/20/2025,RCG,Littleton,Bennett,RP42798A,$75.00,,
8/20/2025,RCG,Littleton,Bennett,RP42788A,$75.00,,
8/20/2025,RCG,Littleton,Bennett,RP42793A,$75.00,,
8/20/2025,RCG,Littleton,Bennett,RP42794A,$75.00,,
8/20/2025,RCG,Littleton,Bennett,RP43741A,$75.00,,
8/20/2025,RCG,Littleton,Bennett,RP45373A,$75.00,,
8/21/2025,RCG,Littleton,Bennett,RP45372A,$75.00,,
8/21/2025,RCG,Littleton,Bennett,RP45374A,$75.00,,
8/21/2025,RCG,Littleton,Bennett,RP45370A,$75.00,,
8/21/2025,RCG,Littleton,Bennett,RP45368A,$75.00,,
8/21/2025,RCG,Littleton,Bennett,RP45369A,$75.00,,
8/21/2025,RCG,Littleton,Bennett,RP45371A,$75.00,,
8/21/2025,RCG,Littleton,Bennett,RP45375A,$75.00,,
8/21/2025,RCG,Littleton,Bennett,RP45376A,$75.00,,
8/22/2025,RCG,Littleton,Bennett,RP45367A,$75.00,,
8/22/2025,RCG,Littleton,Bennett,RP47269A,$75.00,,
