July,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
7/3/2025,Monarch,CO,KS,21372004,$775.00,,
7/7/2025,RCG,Brighton,Bennett,RP11816A,$75.00,,
7/7/2025,RCG,Brighton,Bennett,RP11822A,$75.00,,
7/7/2025,RCG,Brighton,Bennett,RP11817A,$75.00,,
7/7/2025,RCG,Brighton,Bennett,RP11815A,$75.00,,
7/7/2025,RCG,Brighton,Bennett,RP11827A,$75.00,,
7/7/2025,RCG,Brighton,Bennett,RP11821A,$75.00,,
7/7/2025,RCG,Brighton,Bennett,RP11824A,$75.00,,
7/7/2025,RCG,Brighton,Bennett,RP11818A,$75.00,,
7/8/2025,RCG,Littleton,Bennett,RP10932A,$75.00,,
7/8/2025,RCG,Littleton,Bennett,RP11335A,$75.00,,
7/8/2025,RCG,Littleton,Bennett,RP10931A,$75.00,,
7/8/2025,RCG,Littleton,Bennett,RP13241A,$75.00,,
7/8/2025,RCG,Littleton,Bennett,RP13239A,$75.00,,
7/8/2025,RCG,Littleton,Bennett,RP10930A,$75.00,,
7/8/2025,RCG,Littleton,Bennett,RP13240A,$75.00,,
7/8/2025,RCG,Littleton,Bennett,RP13242A,$75.00,,
7/9/2025,RCG,Littleton,Bennett,RP13237A,$75.00,,
7/9/2025,RCG,Littleton,Bennett,RP13238A,$75.00,,
7/9/2025,RCG,Littleton,Bennett,RP11750A,$75.00,,
7/9/2025,RCG,Littleton,Bennett,RP15888A,$75.00,,
7/9/2025,RCG,Brighton,Bennett,RP10924A,$75.00,,
7/9/2025,RCG,Brighton,Bennett,RP10925A,$75.00,,
7/9/2025,RCG,Brighton,Bennett,RP11812A,$75.00,,
7/9/2025,RCG,Brighton,Bennett,RP11810A,$75.00,,
7/10/2025,RCG,Littleton,Bennett,RP15890A,$75.00,,
7/10/2025,RCG,Littleton,Bennett,RP15885A,$75.00,,
7/10/2025,RCG,Littleton,Bennett,RP15889A,$75.00,,
7/10/2025,RCG,Littleton,Bennett,RP15905A,$75.00,,
7/10/2025,RCG,Littleton,Bennett,RP15902A,$75.00,,
7/10/2025,RCG,Littleton,Bennett,RP15884A,$75.00,,
7/10/2025,RCG,Littleton,Bennett,RP16351A,$75.00,,
7/10/2025,RCG,Littleton,Bennett,RP15883A,$75.00,,
7/11/2025,RCG,Littleton,Bennett,RP15893A,$75.00,,
7/11/2025,RCG,Littleton,Bennett,RP15891A,$75.00,,
7/11/2025,RCG,Littleton,Bennett,RP15897A,$75.00,,
7/11/2025,RCG,Littleton,Bennett,RP15886A,$75.00,,
7/11/2025,RCG,Littleton,Bennett,RP15894A,$75.00,,
7/11/2025,RCG,Littleton,Bennett,RP15904A,$75.00,,
7/11/2025,RCG,Littleton,Bennett,RP15900A,$75.00,,
7/11/2025,RCG,Littleton,Bennett,RP15892A,$75.00,,
7/18/2025,Acertus,Greely,Denver,13935829,$180.00,,
7/18/2025,Acertus,Eaton,Denver,13935831,$145.00,,
7/19/2025,Acertus,Eaton,Denver,13935843,$146.00,,
7/19/2025,Acertus,Eaton,Denver,13935839,$146.00,,
7/19/2025,Acertus,Eaton,Denver,13935837,$146.00,,
7/23/2025,Acertus,Eaton,Denver,13935835,$145.00,,
7/23/2025,Acertus,Eaton,Denver,13935833,$145.00,,
7/23/2025,Acertus,Eaton,Denver,13935827,$145.00,,
7/23/2025,Acertus,Eaton,Denver,13935823,$145.00,,
7/25/2025,RCG,Littleton,Bennett,RP26505A,$75.00,,
7/25/2025,RCG,Littleton,Bennett,RP26495A,$75.00,,
7/25/2025,RCG,Littleton,Bennett,RP26509A,$75.00,,
7/25/2025,RCG,Littleton,Bennett,RP26502A,$75.00,,
