June,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
6/9/2025,One Call Logistics,IN,OR,BISH-049116,"$3,700.00",,
6/13/2025,Get It Done,OR,FL,20901915,"$5,200.00",,
6/14/2025,Cierta,UT,CO,CC-5982,$950.00,,
6/20/2025,Acertus,Eaton,Denver,13643287,$155.00,,
6/20/2025,Acertus,Eaton,Denver,13643289,$150.00,,
6/20/2025,Acertus,Eaton,Denver,13643291,$125.00,,
6/20/2025,Acertus,Eaton,Denver,13643297,$200.00,,
6/20/2025,Acertus,Greeley,Denver,13643299,$125.00,,
6/20/2025,Acertus,Eaton,Denver,13643301,$150.00,,
6/20/2025,Acertus,Greeley,Denver,13643303,$125.00,,
6/20/2025,Acertus,Eaton,Denver,13643305,$150.00,,
6/20/2025,Acertus,Eaton,Denver,13643319,$225.00,,
6/20/2025,Acertus,Eaton,Denver,13643321,$125.00,,
6/20/2025,Acertus,Eaton,Denver,13643325,$225.00,,
6/20/2025,Acertus,Eaton,Denver,13643327,$150.00,,
6/20/2025,Acertus,Eaton,Denver,13643329,$150.00,,
6/20/2025,Acertus,Eaton,Denver,13650553,$150.00,,
6/20/2025,Acertus,Greeley,Denver,13655701,$125.00,,
6/20/2025,Acertus,Eaton,Denver,13655703,$125.00,,
6/20/2025,Acertus,Eaton,Denver,13655705,$150.00,,
6/20/2025,Acertus,Eaton,Denver,13643323,$150.00,,
,,,,,,,
,,,,,,,price increase by $45
