May,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
5/1/2025,RCG,Littleton,Bennett,RN53049A ,$118.00,,
5/1/2025,RCG,Littleton,Bennett,RN53050A ,$75.00,,
5/1/2025,RCG,Littleton,Bennett,RN53745A,$75.00,,
5/2/2025,Acertus,Denver,Denver,13058863,$175.00,,
5/2/2025,Ready,Golden,Aurora,10393628671,$85.64,5/3?,
5/2/2025,Super??,Lakewood,Aurora,10446,$80.00,,
5/2/2025,Ready,Henderson,Aurora,10394325196,$100.00,5/3?,
5/2/2025,Ready,Denver,Denver,10396451358,$80.00,5/6?,
5/2/2025,Ready,Denver,Denver,10397717393,$80.00,5/6?,
5/2/2025,Ready,Denver,Denver,10396935897,$80.00,5/6?,
5/3/2025,United,Wheat Ridge,Federal Heights,82456865,$60.00,,
5/3/2025,United,Golden,Federal Heights,82449805,$160.00,,
5/3/2025,United,Englewood,Parker,82457414,$80.00,,
5/3/2025,United,Englewood,Parker,82449793,$160.00,,
5/3/2025,United,Centennial,Parker,82449798,$160.00,,
5/5/2025,Ready,Brighton,Aurora,10395699876,$100.00,5/6?,
5/5/2025,Ready,Brighton,Aurora,10396646199,$100.00,5/6?,
5/5/2025,Ready,Brighton,Aurora,10398399986,$100.00,5/6?,
5/6/2025,Ready,Brighton,Aurora,10393078094,$100.00,5/7?,
5/6/2025,Ready,Brighton,Aurora,10395636397,$100.00,5/7?,
5/6/2025,Ready,Parker,Aurora,10396041641,$75.98,,
5/6/2025,RCG,Brighton,Bennett,RN56431A,$75.00,,price increase by $45
5/6/2025,RCG,Brighton,Bennett,RN56432A,$75.00,,
5/6/2025,RCG,Brighton,Bennett,RN56433A,$75.00,,
5/6/2025,Logistic Transit,Lakewood,Aurora,10446D,$80.00,,
5/7/2025,RCG,Littleton,Bennett,RN58275A,$75.00,,
5/7/2025,RCG,Littleton,Bennett,RN58276A,$75.00,,
5/7/2025,ING Solutions,Littleton,Littleton,BA-531803,$150.00,,
5/7/2025,Ready,Norhtglenn,Aurora,10396451486,$100.00,5/9?,
5/7/2025,Ready,Westminster,Aurora,10397101445,$80.00,5/9?,
