Rich,,,,,,,
October,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
10/1/2025,CarsArrive,Owasso,OKC,21154557,$205.00,,
10/1/2025,CarsArrive,Norman,OKC,21150036,$115.00,,
10/1/2025,Preowned,OKC,Sapulpa,666188,$250.00,,
10/1/2025,Preowned,OKC,Sapulpa,666189,$253.00,,
10/2/2025,Preowned,OKC,Sapulpa,666191,$250.00,,
10/2/2025,Preowned,OKC,Sapulpa,666190,$250.00,,
10/2/2025,Preowned,OKC,Sapulpa,666187,$250.00,,
10/3/2025,KB Freight Brokers,Tulsa,Tulsa,X834752,$115.00,,
10/3/2025,KB Freight Brokers,Tulsa,Tulsa,X834752,$115.00,,
10/6/2025,RCG,OKC,Tulsa,RP75395A,$130.00,,
10/6/2025,RCG,OKC,Tulsa,RP75595A,$130.00,,
10/6/2025,RCG,OKC,Tulsa,RP75391A,$130.00,,
10/7/2025,RCG,OKC,Tulsa,RP75393A,$130.00,,
10/7/2025,RCG,OKC,Tulsa,RP75394A,$130.00,,
10/7/2025,RCG,OKC,Tulsa,RP75392A,$130.00,,
10/8/2025,Ready,Claremore,Sapulpa,10478782861,$120.00,,
10/8/2025,Ready,Claremore,Sapulpa,10478781966,$120.00,,
10/10/2025,Carvana,Saplulpa,OKC,144095,$500.00,,
10/10/2025,Preowned,Tulsa,Saplulpa,668009,$106.00,,
10/13/2025,RCG,Tulsa,Tulsa,RP76140A,$50.00,,
10/13/2025,RCG,Saplulpa,Tulsa,RP83230A,$50.00,,
10/13/2025,RCG,Saplulpa,Tulsa,RP83231A,$50.00,,
10/13/2025,RCG,Saplulpa,Tulsa,RP83232A,$50.00,,
10/13/2025,RCG,OKC,Tulsa,RP82484A,$130.00,,
10/13/2025,RCG,OKC,Tulsa,RP82478A,$130.00,,
10/13/2025,RCG,OKC,Tulsa,RP82487A,$130.00,,
10/13/2025,RCG,OKC,Tulsa,RP82480A,$130.00,,
