Rich,,,,,,,
September,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
9/2/2025,RCG,Littleton,Bennett,RP50094A,$75.00,,
9/2/2025,RCG,Littleton,Bennett,RP52889A,$75.00,,
9/2/2025,RCG,Littleton,Bennett,RP52329A,$75.00,,
9/2/2025,RCG,Littleton,Bennett,RP52330A,$75.00,,
9/2/2025,Ready ,Denver,Aurora,10456533427,$134.37,,
9/2/2025,Ready ,Denver,Aurora,10456531166,$134.37,,
9/3/2025,RCG,Littleton,Bennett,RP52335A,$75.00,,
9/3/2025,RCG,Littleton,Bennett,RP52332A,$75.00,,
9/3/2025,RCG,Littleton,Bennett,RP52334A,$75.00,,
9/3/2025,RCG,Littleton,Bennett,RP52331A,$75.00,,
9/3/2025,RCG,Littleton,Bennett,RP53589A,$75.00,,
9/3/2025,RCG,Littleton,Bennett,RP54699A,$75.00,,
9/3/2025,RCG,Littleton,Bennett,RP54713A,$75.00,,
9/3/2025,RCG,Littleton,Bennett,RP54701A,$75.00,,
9/4/2025,RCG,Littleton,Bennett,RP54705A,$75.00,,
9/4/2025,RCG,Littleton,Bennett,RP54698A,$75.00,,
9/4/2025,RCG,Littleton,Bennett,RP54700A,$75.00,,
9/4/2025,RCG,Littleton,Bennett,RP54703A,$75.00,,
9/4/2025,RCG,Littleton,Bennett,RP54707A,$75.00,,
9/4/2025,RCG,Littleton,Bennett,RP54697A,$75.00,,
9/4/2025,RCG,Littleton,Bennett,RP54702A,$75.00,,
9/4/2025,RCG,Littleton,Bennett,RP54706A,$75.00,,
9/4/2025,Acertus,Denver,Denver,14519841,$185.00,,
9/4/2025,Acertus,Denver,Denver,14519835,$185.00,,
9/5/2025,RCG,Littleton,Bennett,RP54704A,$75.00,,
9/5/2025,RCG,Littleton,Bennett,RP54708A,$75.00,,
9/5/2025,RCG,Littleton,Bennett,RP55517A,$75.00,,
9/5/2025,RCG,Littleton,Bennett,RP54709A,$75.00,,
9/5/2025,RCG,Littleton,Bennett,RP54712A,$75.00,,
9/5/2025,RCG,Littleton,Bennett,RP54710A,$75.00,,
9/5/2025,RCG,Littleton,Bennett,RP54711A,$75.00,,
9/8/2025,RCG,Littleton,Bennett,RP54714A,$75.00,,
9/8/2025,RCG,Littleton,Bennett,RP57281A,$75.00,,
9/8/2025,RCG,Littleton,Bennett,RP57279A,$75.00,,
9/8/2025,RCG,Littleton,Bennett,RP57280A,$75.00,,
9/10/2025,Expedited,Denver,Lakewood,EF-73423,$320.00,,
9/10/2025,Expedited,Lakewood,Aurora,EF-73445,$80.00,,
9/11/2025,RCG,Littleton,Bennett,RP57282A,$75.00,,
9/11/2025,RCG,Littleton,Bennett,RP59731A,$75.00,,
9/11/2025,RCG,Littleton,Bennett,RP59733A,$75.00,,
9/19/2025,RCG,Littleton,Bennett,RP64201A,$75.00,,
9/19/2025,RCG,Littleton,Bennett,RP64199A,$75.00,,
9/19/2025,RCG,Littleton,Bennett,RP64198A,$75.00,,
9/19/2025,RCG,Littleton,Bennett,RP66252A,$75.00,,
9/22/2025,RCG,Littleton,Bennett,RP66756A,$75.00,,
9/22/2025,RCG,Littleton,Bennett,RP66254A,$75.00,,
9/22/2025,RCG,Littleton,Bennett,RP66255A,$75.00,,
9/22/2025,RCG,Littleton,Bennett,RP66253A,$75.00,,
9/25/2025,RCG,Denver,Bennett,RP69777A,$75.00,,
9/25/2025,RCG,Denver,Bennett,RP69772A,$75.00,,
9/25/2025,RCG,Denver,Bennett,RP69775A,$75.00,,
9/25/2025,RCG,Denver,Bennett,RP69780A,$75.00,,
9/25/2025,RCG,Denver,Bennett,RP69781A,$75.00,,
9/25/2025,RCG,Denver,Bennett,RP69774A,$75.00,,
9/25/2025,RCG,Denver,Bennett,RP69773A,$75.00,,
9/25/2025,RCG,Denver,Bennett,RP69776A,$75.00,,
9/26/2025,RCG,Denver,Bennett,RP69778A,$75.00,,
9/26/2025,RCG,Denver,Bennett,RP69784A,$75.00,,
9/26/2025,RCG,Denver,Bennett,RP69779A,$75.00,,
9/26/2025,RCG,Denver,Bennett,RP69783A,$75.00,,
9/26/2025,RCG,Littleton,Bennett,RP71252A,$75.00,,
9/26/2025,RCG,Littleton,Bennett,RP71246A,$75.00,,
9/26/2025,RCG,Littleton,Bennett,RP71250A,$75.00,,
9/26/2025,RCG,Littleton,Bennett,RP71245A,$75.00,,
9/28/2025,Leila Auto,Aurora,Stillwater,8190604,$300.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP71546A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP71542A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP71549A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP71543A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP71545A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP71544A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP71547A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP71548A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP70998A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP70994A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP70996A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP70993A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP70999A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP70995A,$50.00,,
9/29/2025,RCG,Tulsa,Tulsa,RP70997A,$50.00,,
9/30/2025,RPM,OKC,Tulsa,31544-10482,$390.00,,
