April,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
4/1/2025,Ready,Brighton,Aurora,10377117604,$125.00,,
4/1/2025,Ready,Brighton,Aurora,10376315909,$100.00,,
4/1/2025,Acertus,Denver,Denver,12626055,$85.00,4/4,
4/1/2025,Acertus,Denver,Denver,12620359,$100.00,4/4,
4/1/2025,Acertus,Englewood,Denver,12706545,$85.00,4/4,
4/1/2025,Acertus,Denver,Denver,12602425,$85.00,4/4,
4/2/2025,United,Wheat Ridge,Federal Heights,81970873,$80.00,4/8,
4/2/2025,United,Wheat Ridge,Federal Heights,81885915,$80.00,4/8,
4/2/2025,United,Golden,Federal Heights,81997451,$160.00,4/8,
4/4/2025,Ready,Brighton,Aurora,10380343441,$174.02,,
4/4/2025,RCG,Brighton,Bennett,RN31481A,$75.00,4/8,
4/4/2025,RCG,Brighton,Bennett,RN31482A ,$75.00,4/9,
4/4/2025,RCG,Brighton,Bennett,RN31483A ,$75.00,4/8,
4/4/2025,Ready,Brighton,Aurora,10379885792,$100.00,,
4/4/2025,Ready,Brighton,Aurora,10381206826,$125.00,,
4/7/2025,RCG,Brighton,Bennett,RN33398A ,$75.00,4/11,
4/7/2025,RCG,Brighton,Bennett,RN34220A ,$75.00,4/11,
4/7/2025,RCG,Brighton,Bennett,RN34218A ,$75.00,4/11,
4/7/2025,RCG,Brighton,Bennett,RN34219A ,$75.00,4/11,
4/7/2025,RCG,Brighton,Bennett,RN34222A ,$75.00,,
4/7/2025,RCG,Brighton,Bennett,RN34221A ,$75.00,4/11,
4/7/2025,Ready,Westminster,Aurora,10380852658,$138.44,,
4/7/2025,Ready,Westminster,Aurora,10378023872,$80.00,,
4/8/2025,RCG,Brighton,Bennett,RN34217A,$75.00,,
4/8/2025,RCG,Brighton,Bennett,RN34223A,$75.00,,
4/8/2025,RCG,Brighton,Bennett,RN35338A,$75.00,,
4/8/2025,Ready,Henderson,Aurora,10381179484,$100.00,,
4/8/2025,Ready,Golden,Aurora,10381535259,$75.72,,
4/9/2025,Ready,Lakewood,Aurora,10382264342,$75.72,,
4/9/2025,Ready,Golden,Aurora,10381955516,$75.72,,
4/9/2025,Acertus,Lakewood,Denver,12766301,$200.00,4/16,
4/9/2025,Express 4x4,Lakewood,Aurora,ETR13355,$125.00,4/14,
4/10/2025,RCG,Brighton,Bennett,RN37639A,$75.00,4/16,
4/10/2025,RCG,Brighton,Bennett,RN37638A,$75.00,4/16,
4/10/2025,RCG,Brighton,Bennett,RN37636A,$75.00,4/16,
4/10/2025,RCG,Brighton,Bennett,RN37640A,$75.00,4/16,
4/10/2025,RCG,Brighton,Bennett,RN37641A,$75.00,4/16,
4/10/2025,RCG,Brighton,Bennett,RN37635A,$75.00,4/16,
4/11/2025,RCG,Brighton,Bennett,RN37637A,$75.00,4/16,
4/11/2025,RCG,Brighton,Bennett,RN39638A,$75.00,4/16,
4/11/2025,Acertus,Brighton,Denver,12752505,$85.00,4/16,
4/11/2025,Acertus,Brighton,Denver,12735265,$85.00,4/16,
4/14/2025,RCG,Brighton,Bennett,RN40459A ,$75.00,4/21,
4/14/2025,RCG,Brighton,Bennett,RN40458A ,$75.00,4/21,
4/14/2025,RCG,Brighton,Bennett,RN40457A ,$105.00,4/21,
4/14/2025,Ready,Henderson,Aurora,10384697358,$100.00,,
4/15/2025,United,Golden,Federal Heights,82163358,$160.00,4/21,
4/15/2025,Ready,Denver,Aurora,10385883553,$80.00,,
4/15/2025,Ready,Denver,Aurora,10388714193,$80.00,,
4/17/2025,RCG,Brighton,Bennett,RN43199A,$75.00,4/16,
4/17/2025,RCG,Brighton,Bennett,RN43198A,$75.00,4/21,
4/17/2025,RCG,Brighton,Bennett,RN43197A ,$75.00,4/21,
4/17/2025,Ready,Henderson,Aurora,10387520185,$100.00,,
4/18/2025,Preowned,Golden,Aurora,633200,$100.00,,
4/18/2025,Ready,Wheat Ridge,Aurora,10387532481,$75.00,4/19,
4/21/2025,Acertus,Centennial,Denver,12932061,$115.00,,
4/21/2025,Acertus,Centennial,Denver,12947643,$100.00,,
4/23/2025,Ready,Westminster,Aurora,10390244403,$80.00,4/24,
4/23/2025,Ready,Westminster,Aurora,10393488795,$80.00,4/24,
4/23/2025,Ready,Lakewood,Aurora,10392371272,$137.38,4/25,
4/23/2025,Acertus,Golden,Denver,12963425,$100.00,,
4/24/2025,RCG,Brighton,Bennett,RN48804A ,$105.00,,
4/24/2025,RCG,Brighton,Bennett,RN48806A ,$75.00,,
4/24/2025,RCG,Brighton,Bennett,RN48803A ,$75.00,,
4/24/2025,RCG,Brighton,Bennett,RN37640A,$75.00,,
4/24/2025,Preowned,Commerce City,Wheat Ridge,634068,$120.00,,
4/25/2025,RCG,Brighton,Bennett,RN48802A ,$75.00,,
4/25/2025,RCG,Brighton,Bennett,RN48805A ,$75.00,,
4/25/2025,United,Golden,Federal Heights,82322579,$75.00,,
4/25/2025,United,Wheat Ridge,Federal Heights,82329038,$80.00,,
4/28/2025,RCG,Brighton,Bennett,RN50625A ,$75.00,,
4/28/2025,RCG,Brighton,Bennett,RN51312A ,$75.00,,
4/28/2025,RCG,Brighton,Bennett,RN51311A ,$75.00,,
4/28/2025,RCG,Brighton,Bennett,RN51313A ,$75.00,,
4/28/2025,Ready,Denver,Aurora,10395195995,$80.00,4/30,
4/28/2025,Ready,Denver,Aurora,10393213729,$80.00,4/30,
4/30/2025,United,Wheat Ridge,Federal Heights,82415274,$160.00,,
4/30/2025,United,Broomfield,Federal Heights,82401498,$80.00,,
4/30/2025,United,Westminster ,Federal Heights,82401425,$80.00,,
4/30/2025,United,Aurora,Aurora,20575933,$75.00,,
4/30/2025,Carvana,Aurora,Denver,112563,$75.00,,
