Steve,,,,,,,
August,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
8/1/2025,RCG,Brighton,Bennett,RP32279A,$75.00,,
8/1/2025,RCG,Brighton,Bennett,RP32275A,$75.00,,
8/1/2025,RCG,Brighton,Bennett,RP32283A,$75.00,,
8/1/2025,RCG,Brighton,Bennett,RP32281A,$75.00,,
8/1/2025,RCG,Brighton,Bennett,RP32278A,$75.00,,
8/1/2025,RCG,Brighton,Bennett,RP32280A,$75.00,,
8/4/2025,RCG,Brighton,Bennett,RP34710A,$75.00,,
8/4/2025,RCG,Brighton,Bennett,RP34706A,$75.00,,
8/4/2025,RCG,Brighton,Bennett,RP34714A,$75.00,,
8/4/2025,RCG,Brighton,Bennett,RP34014A,$75.00,,
8/4/2025,RCG,Brighton,Bennett,RP34709A,$75.00,,
8/4/2025,RCG,Brighton,Bennett,RP34715A,$75.00,,
8/5/2025,RCG,Brighton,Bennett,RP34711A,$75.00,,
8/5/2025,RCG,Brighton,Bennett,RP35081A,$75.00,,
8/5/2025,RCG,Brighton,Bennett,RP34015A,$75.00,,
8/5/2025,RCG,Brighton,Bennett,RP34708A,$75.00,,
8/5/2025,RCG,Brighton,Bennett,RP34713A,$75.00,,
8/5/2025,RCG,Brighton,Bennett,RP34705A,$75.00,,
8/7/2025,RCG,Brighton,Bennett,RP36965A,$75.00,,
8/7/2025,RCG,Brighton,Bennett,RP36973A,$105.00,,
8/7/2025,RCG,Brighton,Bennett,RP36968A,$75.00,,
8/7/2025,RCG,Brighton,Bennett,RP36980A,$75.00,,
8/7/2025,RCG,Brighton,Bennett,RP36966A,$75.00,,
8/7/2025,RCG,Brighton,Bennett,RP36967A,$75.00,,
8/8/2025,RCG,Brighton,Bennett,RP36977A,$75.00,,
8/8/2025,RCG,Brighton,Bennett,RP36976A,$75.00,,
8/8/2025,RCG,Brighton,Bennett,RP36974A,$75.00,,
8/8/2025,RCG,Brighton,Bennett,RP36971A,$75.00,,
8/8/2025,RCG,Brighton,Bennett,RP36978A,$75.00,,
8/8/2025,RCG,Brighton,Bennett,RP36969A,$75.00,,
8/11/2025,RCG,Littleton,Bennett,RP36236A,$75.00,,
8/11/2025,RCG,Littleton,Bennett,RP36222A,$75.00,,
8/11/2025,RCG,Brighton,Bennett,RP38269A,$75.00,,
8/11/2025,RCG,Brighton,Bennett,RP36970A,$75.00,,
8/11/2025,RCG,Brighton,Bennett,RP39378A,$75.00,,
8/11/2025,RCG,Brighton,Bennett,RP38223A,$75.00,,
8/12/2025,RCG,Brighton,Bennett,RP38221A,$75.00,,
8/12/2025,RCG,Brighton,Bennett,RP38222A,$75.00,,
8/12/2025,RCG,Brighton,Bennett,RP39376A,$75.00,,
8/12/2025,RCG,Brighton,Bennett,RP39837A,$75.00,,
8/12/2025,RCG,Brighton,Bennett,RP39836A,$75.00,,
8/12/2025,RCG,Brighton,Bennett,RP39380A,$75.00,,
8/14/2025,Ready,Brighton,Aurora,10448282564,$100.00,8/15?,
8/14/2025,RCG,Brighton,Bennett,RP41631A,$75.00,,
8/14/2025,RCG,Brighton,Bennett,RP41629A,$75.00,,
8/14/2025,RCG,Brighton,Bennett,RP41633A,$75.00,,
8/14/2025,RCG,Brighton,Bennett,RP41635A,$75.00,,
8/14/2025,RCG,Brighton,Bennett,RP41630A,$75.00,,
8/15/2025,RCG,Brighton,Bennett,RP41636A,$75.00,,
8/15/2025,RCG,Brighton,Bennett,RP41634A,$75.00,,
8/15/2025,RCG,Brighton,Bennett,RP41628A,$75.00,,
8/15/2025,RCG,Brighton,Bennett,RP41627A,$75.00,,
8/15/2025,RCG,Brighton,Bennett,RP41626A,$75.00,,
8/15/2025,RCG,Brighton,Bennett,RP41632A,$75.00,,
8/18/2025,RCG,Brighton,Bennett,RP42777A,$105.00,,
8/18/2025,RCG,Brighton,Bennett,RP42715A,$75.00,,
8/18/2025,RCG,Brighton,Bennett,RP43226A,$75.00,,
8/18/2025,RCG,Brighton,Bennett,RP43225A,$75.00,,
8/18/2025,RCG,Brighton,Bennett,RP42714A,$75.00,,
8/18/2025,RCG,Brighton,Bennett,RP43801A,$75.00,,
8/19/2025,Ready,Brighton,Aurora,10450848017,$100.00,8/21 ??,
8/19/2025,Ready,Brighton,Aurora,10450881211,$100.00,8/21 ??,they addes $5 8/21 suppossed to be $50
8/19/2025,RCG,Brighton,Bennett,RP43805A,$75.00,,
8/19/2025,RCG,Brighton,Bennett,RP43804A,$75.00,,
8/19/2025,RCG,Brighton,Bennett,RP43802A,$75.00,,
8/19/2025,RCG,Brighton,Bennett,RP43803A,$75.00,,
8/20/2025,RCG,Brighton,Bennett,RP43806A,$75.00,,
8/20/2025,Ready,Brighton,Aurora,10450881256,$143.05,8/21 ??,
8/20/2025,Ready,Westminster ,Aurora,10451324751,$80.00,,
8/20/2025,Ready,Westminster ,Aurora,10451323070,$80.00,,
8/20/2025,Ready,Brighton,Aurora,10449963652,$100.00,8/22,
8/20/2025,Ready,Brighton,Aurora,10452661543,$100.00,8/22?,
8/22/2025,RCG,Brighton,Bennett,RP46125A,$105.00,,
8/22/2025,RCG,Brighton,Bennett,RP46126A,$75.00,,
8/22/2025,RCG,Brighton,Bennett,RP46124A,$75.00,,
8/22/2025,Ready,Brighton,Aurora,10452661518,$125.00,8/23,
