July,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
7/1/2025,RCG,Brighton,Bennett,RN97388A ,$75.00,,
7/1/2025,RCG,Brighton,Bennett,RN98869A ,$75.00,,
7/1/2025,RCG,Brighton,Bennett,RN98872A ,$75.00,,
7/1/2025,RCG,Brighton,Bennett,RN98870A ,$75.00,,
7/1/2025,RCG,Brighton,Bennett,RN98873A ,$75.00,,
7/1/2025,RCG,Brighton,Bennett,RN98867A ,$75.00,,
7/3/2025,Ready,Brighton,Aurora,10426985560,$151.59,7/4?,
7/3/2025,RCG,Brighton,Bennett,RN98876A ,$75.00,,
7/3/2025,RCG,Brighton,Bennett,RN98878A ,$75.00,,
7/3/2025,RCG,Brighton,Bennett,RN98875A ,$75.00,,
7/3/2025,RCG,Brighton,Bennett,RN98868A ,$75.00,,
7/3/2025,RCG,Brighton,Bennett,RN98874A ,$75.00,,
7/16/2025,RCG,Littleton,Bennett,RP20595A ,$75.00,,
7/16/2025,RCG,Littleton,Bennett,RP20583A ,$75.00,,
7/16/2025,RCG,Brighton,Bennett,RP18936A,$75.00,,
7/16/2025,RCG,Brighton,Bennett,RP18935A,$75.00,,
7/16/2025,RCG,Brighton,Bennett,RP18933A,$75.00,,
7/16/2025,RCG,Brighton,Bennett,RP18938A,$75.00,,
7/17/2025,RCG,Littleton,Bennett,RN89880A ,$75.00,,
7/17/2025,RCG,Littleton,Bennett,RN89876A ,$75.00,,
7/17/2025,RCG,Brighton,Bennett,RP21461A,$75.00,,
7/17/2025,RCG,Brighton,Bennett,RP21462A,$75.00,,
7/17/2025,RCG,Brighton,Bennett,RP22188A,$75.00,,
7/17/2025,RCG,Brighton,Bennett,RP21463A,$75.00,,
7/18/2025,RCG,Brighton,Bennett,RP22187A,$75.00,,
7/18/2025,RCG,Brighton,Bennett,RP21458A,$75.00,,
7/18/2025,RCG,Brighton,Bennett,RP21464A ,$75.00,,
7/18/2025,RCG,Brighton,Bennett,RP21468A ,$120.00,,
7/18/2025,RCG,Brighton,Bennett,RP21459A,$75.00,,
7/18/2025,RCG,Brighton,Bennett,RP21456A,$75.00,,
7/21/2025,RCG,Brighton,Bennett,RP21467A,$75.00,,
7/21/2025,RCG,Brighton,Bennett,RP21460A,$75.00,,
7/21/2025,RCG,Brighton,Bennett,RP21466A,$75.00,,
7/21/2025,RCG,Brighton,Bennett,RP21465A,$75.00,,
7/21/2025,RCG,Brighton,Bennett,RP22901A,$75.00,,
7/21/2025,RCG,Brighton,Bennett,RP21457A,$75.00,,
7/22/2025,RCG,Brighton,Bennett,RP25279A,$75.00,,
7/22/2025,RCG,Brighton,Bennett,RP24690A,$75.00,,
7/22/2025,RCG,Brighton,Bennett,RP25280A,$75.00,,
7/22/2025,RCG,Brighton,Bennett,RP24691A,$75.00,,
7/22/2025,RCG,Brighton,Bennett,RP24689A,$75.00,,
7/22/2025,RCG,Brighton,Bennett,RP24692A,$75.00,,
7/24/2025,RCG,Littleton,Bennett,RP26514A,$75.00,,
7/24/2025,RCG,Littleton,Bennett,RP26507A,$75.00,,
7/24/2025,RCG,Brighton,Bennett,RP24695A,$75.00,,
7/24/2025,RCG,Brighton,Bennett,RP24693A,$75.00,,
7/24/2025,RCG,Brighton,Bennett,RP27298A,$75.00,,
7/24/2025,RCG,Brighton,Bennett,RP27305A,$75.00,,
7/25/2025,RCG,Brighton,Bennett,RP27296A,$75.00,,
7/25/2025,RCG,Brighton,Bennett,RP27302A,$75.00,,
7/25/2025,RCG,Brighton,Bennett,RP27294A,$75.00,,
7/25/2025,RCG,Brighton,Bennett,RP27300A,$75.00,,
7/25/2025,RCG,Brighton,Bennett,RP27301A,$75.00,,
7/25/2025,RCG,Brighton,Bennett,RP27297A,$75.00,,
7/28/2025,RCG,Brighton,Bennett,RP27303A,$75.00,,
7/28/2025,RCG,Brighton,Bennett,RP27299A,$75.00,,
7/28/2025,RCG,Brighton,Bennett,RP27304A,$75.00,,
7/28/2025,RCG,Brighton,Bennett,RP27295A,$75.00,,
7/28/2025,RCG,Brighton,Bennett,RP28659A,$120.00,,
7/28/2025,RCG,Brighton,Bennett,RP28587A,$75.00,,
7/29/2025,RCG,Brighton,Bennett,RP27923A,$75.00,,
7/29/2025,RCG,Brighton,Bennett,RP29179A,$75.00,,
7/29/2025,RCG,Brighton,Bennett,RP28660A,$120.00,,
7/29/2025,RCG,Brighton,Bennett,RP29856A,$75.00,,
7/29/2025,RCG,Brighton,Bennett,RP29854A,$75.00,,
7/29/2025,RCG,Brighton,Bennett,RP29855A,$75.00,,
7/30/2025,RCG,Brighton,Bennett,RP29858A,$75.00,,
7/30/2025,RCG,Brighton,Bennett,RP29857A,$75.00,,
7/30/2025,RCG,Brighton,Bennett,RP29851A,$75.00,,
7/30/2025,RCG,Brighton,Bennett,RP29850A,$75.00,,
7/30/2025,RCG,Brighton,Bennett,RP29852A,$75.00,,
7/30/2025,RCG,Brighton,Bennett,RP29853A,$75.00,,
