June,,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes,
6/2/2025,RCG,Littleton,Bennett,RN73572A ,$75.00,,,
6/2/2025,RCG,Littleton,Bennett,RN75019A ,$75.00,,,
6/2/2025,RCG,Brighton,Bennett,RN73657A ,$75.00,,,
6/2/2025,RCG,Brighton,Bennett,RN76499A ,$75.00,,,
6/2/2025,RCG,Brighton,Bennett,RN76075A ,$75.00,,,
6/2/2025,RCG,Brighton,Bennett,RN76072A ,$75.00,,,
6/5/2025,RCG,Brighton,Bennett,RN78670A ,$75.00,,,
6/5/2025,RCG,Brighton,Bennett,RN78672A,$75.00,,,
6/5/2025,RCG,Brighton,Bennett,RN78673A ,$75.00,,,
6/5/2025,RCG,Brighton,Bennett,RN78671A ,$75.00,,,
6/5/2025,Ready,Denver,Aurora,10411536594,$80.00,6/7?,,
6/5/2025,Ready,Denver,Aurora,10414882098,$80.00,6/7?,,
6/6/2025,RCG,Littleton,Bennett,RN77745A ,$75.00,,,
6/6/2025,RCG,Littleton,Bennett,RN77748A ,$118.00,,,
6/6/2025,Acertus,Denver,Denver,13542483,$115.00,,,
6/6/2025,Acertus,Denver,Denver,13522731,$175.00,,,
6/9/2025,RCG,Brighton,Bennett,RN81105A,$75.00,,,
6/9/2025,RCG,Brighton,Bennett,RN81106A,$75.00,,,
6/9/2025,RCG,Brighton,Bennett,RN79877A,$120.00,,,
6/9/2025,RCG,Brighton,Bennett,RN81104A,$75.00,,,
6/9/2025,Acertus,Brighton,Denver,13478199,$100.00,,,
6/9/2025,Acertus,Brighton,Denver,13475293,$100.00,,,
6/12/2025,RCG,Brighton,Bennett,RN83932A,$75.00,,,
6/12/2025,RCG,Brighton,Bennett,RN83933A,$75.00,,,
6/12/2025,RCG,Brighton,Bennett,RN83921A,$75.00,,,
6/12/2025,RCG,Brighton,Bennett,RN83928A,$75.00,,,
6/12/2025,Acertus,Broomfield,Denver,13595209,$100.00,,,
6/13/2025,RCG,Brighton,Bennett,RN83924A,$75.00,,,
6/13/2025,RCG,Brighton,Bennett,RN83922A,$75.00,,,
6/13/2025,RCG,Brighton,Bennett,RN83927A,$75.00,,,
6/13/2025,RCG,Brighton,Bennett,RN83923A,$75.00,,,
6/13/2025,RCG,Brighton,Bennett,RN83934A,$75.00,,,
6/13/2025,RCG,Brighton,Bennett,RN83930A,$75.00,,,
6/16/2025,RCG,Brighton,Bennett,RN86170A ,$75.00,,,
6/16/2025,RCG,Brighton,Bennett,RN86169A ,$75.00,,,
6/16/2025,RCG,Brighton,Bennett,RN83931A,$75.00,,,
6/16/2025,RCG,Brighton,Bennett,RN87558A,$75.00,,,
6/17/2025,RCG,Brighton,Bennett,RN86925A ,$75.00,,,$150 ecevtually
6/17/2025,Ready,Brighton,Aurora,10416619381,$100.00,"6/18-$100,  $50 6/18",$150 ecevtually,
6/17/2025,RCG,Brighton,Bennett,RN88081A,$75.00,,,
6/17/2025,RCG,Brighton,Bennett,RN88082A ,$75.00,,,
6/19/2025,RCG,Brighton,Bennett,RN89879A ,$75.00,,,
6/19/2025,RCG,Brighton,Bennett,RN89874A ,$75.00,,,
6/19/2025,RCG,Brighton,Bennett,RN89877A ,$75.00,,,
6/19/2025,RCG,Brighton,Bennett,RN89878A ,$75.00,,,
6/20/2025,RCG,Brighton,Bennett,RN89880A ,$75.00,,,
6/20/2025,RCG,Brighton,Bennett,RN89876A ,$75.00,,,
6/20/2025,RCG,Brighton,Bennett,RN89881A ,$75.00,,,
6/20/2025,RCG,Brighton,Bennett,RN89883A ,$75.00,,,
6/20/2025,RCG,Brighton,Bennett,RN89882A ,$75.00,,,
6/20/2025,RCG,Brighton,Bennett,RN89875A ,$75.00,,,
6/23/2025,Ready,Brighton,Aurora,10419501816,$100.00,,,
6/23/2025,Ready,Brighton,Aurora,10419907520,$100.00,,Should be $150,
6/23/2025,RCG,Brighton,Bennett,RN89884A ,$75.00,,,
6/23/2025,RCG,Brighton,Bennett,RN89886A ,$75.00,,,
6/23/2025,RCG,Brighton,Bennett,RN92813A ,$120.00,,,
6/23/2025,RCG,Brighton,Bennett,RN89885A ,$75.00,,,
6/24/2025,RCG,Brighton,Bennett,RN92811A ,$75.00,,,
6/24/2025,RCG,Brighton,Bennett,RN92810A ,$75.00,,,
6/24/2025,RCG,Brighton,Bennett,RN92812A ,$75.00,,,
6/24/2025,RCG,Brighton,Bennett,RN92814A ,$75.00,,,
6/24/2025,Ready,Broomfield,Aurora,10423025570,$80.00,6/26,,
6/24/2025,Ready,Broomfield,Aurora,10421486689,$100.00,6/26,,
6/26/2025,RCG,Brighton,Bennett,RN95983A ,$75.00,,,
6/26/2025,RCG,Brighton,Bennett,RN95974A ,$75.00,,,
6/26/2025,RCG,Brighton,Bennett,RN95982A ,$75.00,,,
6/26/2025,RCG,Brighton,Bennett,RN95979A ,$75.00,,,
6/26/2025,RCG,Brighton,Bennett,RN95984A ,$75.00,,,
6/26/2025,RCG,Brighton,Bennett,RN95985A ,$75.00,,,
6/27/2025,RCG,Brighton,Bennett,RN95975A ,$75.00,,,
6/27/2025,RCG,Brighton,Bennett,RN95976A ,$75.00,,,
6/27/2025,RCG,Brighton,Bennett,RN96668A ,$75.00,,,
6/27/2025,RCG,Brighton,Bennett,RN95977A ,$75.00,,,
6/27/2025,RCG,Brighton,Bennett,RN95980A ,$75.00,,,
6/27/2025,RCG,Brighton,Bennett,RN95973A ,$75.00,,,
6/30/2025,Ready,Brighton,Aurora,10423792701,$100.00,"$100-7/1, $50-7/8",should be $150,
6/30/2025,Ready,Brighton,Aurora,10425452372,$143.05,7/1,,
6/30/2025,RCG,Brighton,Bennett,RN95978A ,$75.00,,,
6/30/2025,RCG,Brighton,Bennett,RN97387A ,$75.00,,,
6/30/2025,RCG,Brighton,Bennett,RN97386A ,$75.00,,,
6/30/2025,RCG,Brighton,Bennett,RN95981A ,$75.00,,,
