March,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
3/3/2025,RCG,Brighton,Bennett,RM91970A,$75.00,3/6,
3/3/2025,RCG,Brighton,Bennett,RM93204A,$75.00,3/6,
3/3/2025,RCG,Brighton,Bennett,RM93815A,$75.00,3/6,
3/3/2025,RCG,Brighton,Bennett,RM93206A,$75.00,3/6,
3/3/2025,RCG,Brighton,Bennett,RM93202A,$75.00,3/6,
3/3/2025,RCG,Brighton,Bennett,RM93205A,$75.00,3/6,
3/4/2025,RCG,Brighton,Bennett,RM94379A,$75.00,3/7,
3/4/2025,Ready,Brighton,Aurora,10364704445,$75.00,3/5??,159.8
3/4/2025,RCG,Denver,Denver,RM93248A,$75.00,3/7,
3/4/2025,RCG,Denver,Denver,RM93243A,$75.00,3/7,
3/6/2025,RCG,Brighton,Bennett,RM96587A,$75.00,3/12,
3/6/2025,RCG,Brighton,Bennett,RM96581A,$75.00,3/12,
3/6/2025,RCG,Brighton,Bennett,RM96584A,$75.00,3/12,
3/6/2025,RCG,Brighton,Bennett,RM96576A,$75.00,3/12,
3/6/2025,RCG,Brighton,Bennett,RM96580A,$75.00,3/12,
3/6/2025,RCG,Brighton,Bennett,RM96589A,$75.00,3/12,
3/7/2025,RCG,Brighton,Bennett,RM96574A,$75.00,3/12,
3/7/2025,RCG,Brighton,Bennett,RM96594A ,$75.00,3/12,
3/7/2025,RCG,Brighton,Bennett,RM96577A,$75.00,3/12,
3/7/2025,RCG,Brighton,Bennett,RM96582A,$75.00,3/12,
3/7/2025,RCG,Brighton,Bennett,RM96592A,$75.00,3/12,
3/7/2025,RCG,Brighton,Bennett,RM96588A,$75.00,3/12,
3/10/2025,RCG,Brighton,Bennett,RM97315A,$75.00,3/13,
3/10/2025,RCG,Brighton,Bennett,RM96585A,$75.00,3/13,
3/10/2025,RCG,Brighton,Bennett,RM96573A,$75.00,3/13,
3/10/2025,RCG,Brighton,Bennett,RM96590A,$75.00,3/13,
3/10/2025,RCG,Brighton,Bennett,RM96579A,$75.00,3/13,
3/10/2025,RCG,Brighton,Bennett,RM96591A,$75.00,3/13,
3/11/2025,RCG,Brighton,Bennett,RM98110A,$75.00,,
3/11/2025,RCG,Brighton,Bennett,RM98112A,$75.00,,
3/11/2025,RCG,Brighton,Bennett,RM98111A,$75.00,,
3/11/2025,RCG,Brighton,Bennett,RM98113A,$75.00,,
3/11/2025,RCG,Brighton,Bennett,RM99504A,$75.00,,
3/11/2025,RCG,Brighton,Bennett,RM99499A,$75.00,,
3/11/2025,RCG,Brighton,Bennett,RM99495A,$75.00,,
3/11/2025,RCG,Brighton,Bennett,RM99496A,$75.00,,
3/12/2025,RCG,Brighton,Bennett,RM99500A,$75.00,,
3/12/2025,RCG,Brighton,Bennett,RM99502A,$75.00,,
3/12/2025,RCG,Brighton,Bennett,RM99498A,$75.00,,
3/12/2025,RCG,Brighton,Bennett,RM99497A,$75.00,,
3/12/2025,RCG,Brighton,Bennett,RM99501A,$75.00,,
3/12/2025,RCG,Brighton,Bennett,RN10165A,$75.00,,
3/13/2025,RCG,Brighton,Bennett,RN10818A,$75.00,,
3/13/2025,RCG,Brighton,Bennett,RN10819A,$75.00,,
3/13/2025,RCG,Brighton,Bennett,RN13041A,$75.00,,
3/13/2025,RCG,Brighton,Bennett,RN13037A,$75.00,,
3/13/2025,RCG,Brighton,Bennett,RN13042A,$75.00,,
3/13/2025,RCG,Brighton,Bennett,RN13039A,$75.00,,
3/13/2025,Ready,Brighton,Aurora,10367985349,$97.97,3/14??,87.97 minus $10
3/14/2025,RCG,Brighton,Bennett,RN13043A,$75.00,,
3/14/2025,RCG,Brighton,Bennett,RN13044A,$75.00,,
3/14/2025,RCG,Brighton,Bennett,RN13040A,$75.00,,
3/14/2025,RCG,Brighton,Bennett,RN13038A,$75.00,,
3/14/2025,RCG,Commerce City,Bennett,RM97462A,$110.00,,
3/14/2025,Ready,Brighton,Aurora,10369841557,$100.00,3/18??,
3/17/2025,RCG,Brighton,Bennett,RN15956A ,$75.00,,
3/17/2025,RCG,Brighton,Bennett,RN15959A ,$75.00,,
3/17/2025,RCG,Brighton,Bennett,RN15954A ,$75.00,,
