May,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
5/1/2025,Ready,Brighton,Aurora,10395713577,$151.59,5/2,
5/1/2025,RCG,Brighton,Bennett,RN53848A,$75.00,,
5/1/2025,RCG,Brighton,Bennett,RN53846A,$75.00,,
5/1/2025,RCG,Brighton,Bennett,RN53847A ,$75.00,,
5/14/2025,Ready,Brighton,Aurora,10403231472,$100.00,5/15,
5/14/2025,Ready,Brighton,Aurora,10400872488,$143.05,5/15,
5/14/2025,Ready,Brighton,Aurora,10403394724,$145.72,5/15,
5/14/2025,Ready,Brighton,Aurora,10403660668,$100.00,5/15,
5/15/2025,RCG,Brighton,Bennett,RN64235A ,$75.00,,
5/15/2025,RCG,Brighton,Bennett,RN64233A ,$75.00,,
5/15/2025,RCG,Brighton,Bennett,RN64234A ,$75.00,,
5/15/2025,RCG,Brighton,Bennett,RN64232A ,$75.00,,
5/15/2025,ShipYourCar,Centennial,Northglenn,12945409,$125.00,,
5/16/2025,RCG,Brighton,Bennett,RN64230A ,$75.00,,
5/16/2025,RCG,Brighton,Bennett,RN64231A ,$75.00,,
5/16/2025,ANew Transport,Broomfield,Henderson,31490-31391,$125.00,,
5/16/2025,ANew Transport,Broomfield,Henderson,31434-41176,$125.00,,
5/19/2025,Ready,Brighton,Aurora,10404008563,$100.00,5/20,
5/19/2025,Tarpon ,Brighton,Greenwood Village,28P5FM ,$125.00,,
5/19/2025,VRCG,Denver,Aurora, BRAD-DEN2-051625,$200.00,,
5/20/2025,RCG,Brighton,Bennett,RN65403A,$75.00,,
5/20/2025,RCG,Brighton,Bennett,RN65402A ,$75.00,,
5/20/2025,RCG,Brighton,Bennett,RN64232A ,$75.00,,
5/20/2025,RCG,Brighton,Bennett,RN64234A ,$75.00,,
5/20/2025,Helpful,Wheat Ridge,Lakewood,051925WR,$107.00,,
5/21/2025,RCG,Brighton,Bennett,RN66379A ,$75.00,,
5/21/2025,Ready,Brighton,Aurora,10406624075,$100.00,5/22,
5/27/2025,RCG,Brighton,Bennett,RN69123A ,$75.00,,
5/27/2025,RCG,Brighton,Bennett,RN69117A ,$75.00,,
5/27/2025,RCG,Brighton,Bennett,RN69118A ,$75.00,,
5/27/2025,RCG,Brighton,Bennett,RN69119A ,$75.00,,
5/27/2025,RCG,Brighton,Bennett,RN71563A ,$120.00,,
5/27/2025,RCG,Brighton,Bennett,RN71564A ,$75.00,,
5/28/2025,RCG,Brighton,Bennett,RN71565A ,$105.00,,
5/28/2025,RCG,Brighton,Bennett,RN71567A ,$75.00,,
5/28/2025,RCG,Brighton,Bennett,RN71559A ,$75.00,,
5/28/2025,RCG,Brighton,Bennett,RN71566A ,$75.00,,
5/28/2025,Acertus,Commerce City,Denver,13335095,$100.00,,
5/28/2025,Acertus,Commerce City,Denver,13335093,$100.00,,
