April,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
4/1/2025,RCG,Littleton,Bennett,RN27264A,$75.00,4/4,
4/1/2025,PDRevolution Inc.,Littleton,Denver,705 Copart,$150.00,,
4/1/2025,United,Greenwood Village,Parker,81997185,$240.00,4/21,
4/1/2025,Acertus,Parker,Denver,12706389,$100.00,4/4,
4/1/2025,Ready,Parker,Aurora,10378497578,$79.60,,
4/1/2025,Ready,Centennial,Aurora,10378112699,$80.00,,
4/2/2025,United,Centennial,Parker,81996301,$80.00,4/8,
4/2/2025,Acertus,Lakewood,Denver,12688857,$85.00,4/21,
4/2/2025,Ready,Lakewood ,Aurora,10381595043,$75.72,,
4/2/2025,Ready,Lakewood ,Aurora,10381489370,$75.72,,
4/2/2025,Acertus,Commerce City,Denver,12712689,$80.00,4/8,
4/2/2025,Acertus,Commerce City,Denver,12712685,$80.00,4/8,
4/2/2025,Acertus,Commerce City,Denver,12712677,$80.00,4/8,
4/2/2025,Ready,Denver,Aurora,10376433851,$127.18,,
4/2/2025,Ready,Centennial,Aurora,10381869865,$77.69,,
4/2/2025,Ready,Centennial,Aurora,10381828250,$77.69,,
4/3/2025,RCG,Littleton,Bennett,RN31090A,$75.00,4/8,
4/3/2025,RCG,Littleton,Bennett,RN30627A ,$75.00,4/8,
4/3/2025,RCG,Littleton,Bennett,RN30624A,$75.00,4/8,
4/3/2025,Expedited,Lakewood ,Aurora,EF-59037,$80.00,4/7,
4/3/2025,Ready,Lakewood ,Aurora,10381568092,$100.00,,
4/3/2025,Ready,Denver,Aurora,10379613334,$75.00,,
4/3/2025,United,Lakewood,Parker,81997707,$240.00,4/8,
4/4/2025,Acertus,Commerce City,Denver,12712681,$80.00,4/8,
4/4/2025,Acertus,Commerce City,Denver,12712669,$80.00,4/8,
4/4/2025,Acertus,Commerce City,Denver,12712661,$80.00,4/8,
4/4/2025,RCG,Littleton,Bennett,RN33447A,$75.00,4/8,
4/4/2025,RCG,Littleton,Bennett,RN32949A ,$118.00,4/9,
4/4/2025,RCG,Littleton,Bennett,RN32950A,$75.00,4/9,
4/4/2025,Ready,Centennial ,Aurora,10381789095,$77.69,,
4/7/2025,PDRevolution Inc.,Brighton,Denver,415 Copart,$150.00,,
4/7/2025,Ready,Brighton,Aurora,10381673567,$169.78,,
4/7/2025,Ready,Brighton,Aurora,10384399405,$100.00,,
4/7/2025,Ready,Lakewood,Aurora,10381232673,$85.00,,
4/7/2025,Expedited,Lakewood,Aurora,EF-59377,$80.00,4/10,
4/7/2025,Expedited,Lakewood,Aurora,EF-59384,$80.00,4/10,
4/8/2025,Ready,Henderson,Aurora,10381179478,$125.00,,
4/8/2025,Ready,Henderson,Aurora,10381179480,$125.00,,
4/8/2025,Sill-Terhar,Aurora,Broomfield,50516,$285.00,,
4/9/2025,Ready,Brighton,Aurora,10383878981,$100.00,,
4/9/2025,Ready,Brighton,Aurora,10382355998,$100.00,,
4/9/2025,Ready,Brighton,Aurora,10383025613,$100.00,,
4/10/2025,RCG,Littleton,Bennett,RN36440A,$75.00,4/16,
4/10/2025,RCG,Littleton,Bennett,RN36442A,$75.00,4/16,
4/10/2025,RCG,Littleton,Bennett,RN36441A,$75.00,4/16,
4/10/2025,Sill-Terhar,Aurora,Broomfield,5128629,$175.00,,
4/10/2025,Carvana,Commerce City,Denver,107316,$86.23,,
4/10/2025,Carvana,Commerce City,Denver,108727,$150.00,,
4/10/2025,Ready,Parker,Aurora,10383204632,$143.48,,
4/10/2025,RPM,Parker,Aurora,31532-76680,$125.00,4/16,
4/10/2025,Ready,Parker,Aurora,10383202981,$93.82,,
4/10/2025,Ready,Parker,Aurora,10383292225,$93.82,,
4/11/2025,RCG,Littleton,Bennett,RN36441A,$75.00,4/16,
4/11/2025,RCG,Littleton,Bennett,RN36442A,$75.00,4/16,
4/11/2025,RCG,Littleton,Bennett,RN36440A,$75.00,4/16,
4/11/2025,RCG,Littleton,Bennett,RN36978A,$75.00,4/16,
4/11/2025,RCG,Littleton,Bennett,RN39162A,$75.00,4/16,
4/11/2025,RCG,Littleton,Bennett,RN39163A,$75.00,4/16,
4/11/2025,Preowned,Denver,Aurora,631129,$100.00,4/16,
4/14/2025,ShipYourCarNow,Aurora,Denver,12935347,$80.00,4/21,
4/14/2025,Carvana,Denver,Denver,109143,$96.00,,
4/14/2025,Expedited,Denver,Lakewood,EF-60084,$170.00,4/17,
4/14/2025,Ready,Lakewood,Aurora,10388182853,$70.64,,
4/14/2025,Ready,Westminster,Aurora,10385038816,$117.03,,
4/14/2025,Ready,Erie,Aurora,10384220107,$80.00,,
4/15/2025,Ready,Brighton,Aurora,10385232076,$100.00,,
4/15/2025,Ready,Brighton,Aurora,10387943754,$100.00,,inop rate?
4/15/2025,Ready,Brighton,Aurora,10387943745,$174.02,,inop
4/15/2025,Epic Metrix,Denver,Aurora,307508/A29392/215833,$300.00,,
4/15/2025,Ready,Broomfield,Aurora,10388839766,$80.00,,
4/15/2025,Ready,Broomfield,Aurora,10388839699,$80.00,,
4/15/2025,Helpful Logistics,Broomfield,Aurora,041425CO,$100.00,,
4/15/2025,Expedited,Lakewood ,Aurora,EF-60199,$80.00,4/18,
4/16/2025,Freight Tech,Brighton,Aurora,785463,$175.00,,
4/16/2025,Ready,Brighton,Aurora,10387482498,$159.80,,
4/16/2025,Ready,Henderson,Aurora,10386435134,$125.00,,
4/16/2025,Crooza,Denver,Aurora,5326736,$225.00,,
4/16/2025,United,Englewood,Parker,81905800,$80.00,4/21,
4/16/2025,United,Greenwood Village,Parker,82214244,$75.00,4/21,
4/17/2025,RCG,Littleton,Bennett,RN42348A,$75.00,4/21,
4/17/2025,RCG,Littleton,Bennett,RN42347A,$75.00,4/21,
4/17/2025,RCG,Littleton,Bennett,RN42346A,$75.00,4/21,
4/17/2025,Carvana,Aurora,Denver,110002,$75.00,,
4/17/2025,Carvana,Commerce City,Denver,110004,$75.00,,
4/18/2025,Sill-Terhar,Aurora,Broomfield,5357944,$90.00,,
4/18/2025,Carvana,Aurora,Denver,110290,$75.00,,
4/18/2025,Acertus,Commerce City,Denver,12933327,$85.00,,
4/21/2025,Carvana,Denver,Denver,110292,$75.00,,
4/21/2025,Acertus,Denver,Denver,12911019,$100.00,,
4/21/2025,Acertus,Denver,Denver,12911021,$100.00,,
4/21/2025,Acertus,Brighton,Denver,12883607,$155.00,,
4/21/2025,Ready,Brighton,Aurora,10391175808,$100.00,,
4/24/2025,VRCG,Denver,Denver,BRIAN-DEN1-042325,$100.00,,
4/24/2025,VRCG,Denver,Wesminster,BRAD-DEN1-042325,$100.00,,
4/24/2025,Acertus,Broomfield,Denver,12996787,$125.00,,
4/24/2025,Acertus,Denver,Denver,12932063,$85.00,,
4/24/2025,United,Aurora,Parker,82323188,$240.00,,
4/25/2025,RCG,Littleton,Bennett,RN50104A,$75.00,,
4/25/2025,RCG,Littleton,Bennett,RN50102A ,$75.00,,
4/25/2025,RCG,Littleton,Bennett,RN50103A,$75.00,,
4/25/2025,Logistic Transit,Lakewood,Aurora,10299,$160.00,,
4/25/2025,Acertus,Denver,Denver,12880401,$90.00,,
4/25/2025,United,Aurora,Parker,82323059,$240.00,,
4/28/2025,Ready,Brighton,Aurora,10391613012,$166.99,,
4/28/2025,Ready,Brighton,Aurora,10394100079,$125.00,,
4/28/2025,Acertus,Aurora,Denver,13036167,$85.00,,
4/28/2025,ACV,Wheat Ridge,Aurora,37221391,$115.00,,
4/28/2025,Ready,Lakewood,Aurora,10393616277,$92.12,,
4/28/2025,Acertus,Commerce City,Denver,13004555,$85.00,,
4/29/2025,Freight Tech,Brighton,Denver,792531,$175.00,,
4/29/2025,Ready,Brighton,Aurora,10395699487,$100.00,,
4/29/2025,Ready,Brighton,Aurora,10394306426,$100.00,,
4/29/2025,Ready,Broomfield,Aurora,10393010262,$80.00,,
4/29/2025,Ready,Broomfield,Aurora,10395098314,$80.00,,
4/29/2025,Ready,Broomfield,Aurora,10395097708,$80.00,,
