August,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
8/1/2025,RCG,Littleton,Bennett,RP31500A,$75.00,,
8/1/2025,RCG,Littleton,Bennett,RP31495A,$75.00,,
8/1/2025,RCG,Littleton,Bennett,RP31511A,$75.00,,
8/1/2025,RCG,Littleton,Bennett,RP31503A,$75.00,,
8/1/2025,RCG,Littleton,Bennett,RP31899A,$75.00,,
8/1/2025,RCG,Littleton,Bennett,RP31504A,$75.00,,
8/1/2025,RCG,Brighton,Bennett,RP32276A,$75.00,,
,,,,,,,
8/6/2025,RCG,Littleton,Bennett,RP36231A,$75.00,,
8/6/2025,RCG,Littleton,Bennett,RP36240A,$75.00,,
8/6/2025,RCG,Littleton,Bennett,RP36245A,$75.00,,
8/6/2025,RCG,Littleton,Bennett,RP36232A,$75.00,,
8/6/2025,RCG,Littleton,Bennett,RP36226A,$75.00,,
8/6/2025,RCG,Littleton,Bennett,RP36241A,$75.00,,
8/7/2025,RCG,Littleton,Bennett,RP36252A,$75.00,,
8/7/2025,RCG,Littleton,Bennett,RP36227A,$75.00,,
8/7/2025,RCG,Littleton,Bennett,RP36228A,$75.00,,
8/7/2025,RCG,Littleton,Bennett,RP36247A,$75.00,,
8/7/2025,RCG,Littleton,Bennett,RP36223A,$75.00,,
8/7/2025,RCG,Littleton,Bennett,RP36248A,$75.00,,
8/8/2025,RCG,Littleton,Bennett,RP36249A,$75.00,,
8/8/2025,RCG,Littleton,Bennett,RP36229A,$75.00,,
8/8/2025,RCG,Littleton,Bennett,RP36230A,$75.00,,
8/8/2025,RCG,Littleton,Bennett,RP36235A,$75.00,,
8/8/2025,RCG,Littleton,Bennett,RP36234A,$75.00,,
8/8/2025,RCG,Littleton,Bennett,RP38273A,$75.00,,
8/8/2025,RCG,Brighton,Bennett,RP36972A,$75.00,,
8/8/2025,RCG,Brighton,Bennett,RP36975A,$75.00,,
8/8/2025,RCG,Brighton,Bennett,RP35530A,$75.00,,
8/11/2025,RCG,Littleton,Bennett,RP36238A,$75.00,,
8/11/2025,RCG,Littleton,Bennett,RP36250A,$75.00,,
8/11/2025,RCG,Littleton,Bennett,RP36243A,$75.00,,
8/11/2025,RCG,Littleton,Bennett,RP36221A,$75.00,,
8/11/2025,RCG,Littleton,Bennett,RP36224A,$75.00,,
8/11/2025,RCG,Littleton,Bennett,RP36244A,$75.00,,
8/11/2025,Ready,Erie,Aurora,10446562105,$80.00,,
8/11/2025,Ready,Westminster,Aurora,10447832305,$80.00,,
8/11/2025,Ready,Denver,Aurora,10445910838,$80.00,,
8/12/2025,RCG,Littleton,Bennett,RP38271A,$75.00,,
8/12/2025,RCG,Littleton,Bennett,RP38270A,$118.00,,
8/12/2025,RCG,Littleton,Bennett,RP38757A,$75.00,,
8/12/2025,RCG,Littleton,Bennett,RP38272A,$75.00,,
8/12/2025,RCG,Littleton,Bennett,RP39320A,$75.00,,
8/12/2025,RCG,Littleton,Bennett,RP39319A,$75.00,,
8/12/2025,Expedited,Lakewood,Aurora,EF-70230,$80.00,,
8/12/2025,Ready,Westminster,Aurora,10448376367,$80.00,,
8/12/2025,Ready,Thornton,Aurora,10448375261,$125.00,,
8/13/2025,Ready,Brighton,Aurora,10446237187,$100.00,,Inop
8/13/2025,Ready,Brighton,Aurora,10448282061,$100.00,,
8/13/2025,RCG,Brighton,Bennett,RP39377A,$75.00,,
8/13/2025,RCG,Brighton,Bennett,RP39381A,$75.00,,
8/13/2025,RCG,Brighton,Bennett,RP39379A,$75.00,,
8/13/2025,RCG,Brighton,Bennett,RP40254A,$75.00,,
8/14/2025,RCG,Littleton,Bennett,,,,
8/14/2025,RCG,Littleton,Bennett,,,,
8/14/2025,RCG,Littleton,Bennett,,,,
8/14/2025,RCG,Littleton,Bennett,,,,
8/14/2025,RCG,Littleton,Bennett,,,,
8/14/2025,RCG,Littleton,Bennett,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4/29/2025,Ready,Brighton,Aurora,10395699487,$100.00,,
4/29/2025,Ready,Brighton,Aurora,10394306426,$100.00,,
4/29/2025,Ready,Broomfield,Aurora,10393010262,$80.00,,
4/29/2025,Ready,Broomfield,Aurora,10395098314,$80.00,,
4/29/2025,Ready,Broomfield,Aurora,10395097708,$80.00,,
