Tony,,,,,,,
October,,,,,,,
Date,Company,Pick-Up,Drop-off,Load #,Amount,Date Paid,Notes
10/1/2025,RCG,Littleton,Bennett,RP74202A,,,
10/1/2025,RCG,Littleton,Bennett,RP74191A,,,
10/1/2025,RCG,Littleton,Bennett,RP74186A,,,
10/1/2025,RCG,Littleton,Bennett,RP74198A,,,
10/1/2025,RCG,Littleton,Bennett,RP74196A,,,
10/1/2025,RCG,Littleton,Bennett,RP74181A,,,
10/1/2025,RCG,Brighton,Bennett,RP72440A,,,
10/1/2025,RCG,Brighton,Bennett,RP72446A,,,
10/1/2025,RCG,Brighton,Bennett,RP72445A,,,
10/2/2025,RCG,Littleton,Bennett,RP74197A,,,
10/2/2025,RCG,Littleton,Bennett,RP74182A,,,
10/2/2025,RCG,Littleton,Bennett,RP74193A,,,
10/2/2025,RCG,Littleton,Bennett,RP74190A,,,
10/2/2025,RCG,Littleton,Bennett,RP74188A,,,
10/2/2025,RCG,Littleton,Bennett,RP74184A,,,
10/2/2025,RCG,Brighton,Bennett,RP72442A,,,
10/2/2025,RCG,Brighton,Bennett,RP75584A,,,
10/2/2025,RCG,Brighton,Bennett,RP74959A,,,
10/2/2025,Ready,Northglenn,Aurora,10473296386,,,
10/2/2025,Ready,Northglenn,Aurora,10473296417,,,
10/2/2025,Ready,Erie,Aurora,10472096954,,,
10/6/2025,RCG,Littleton,Bennett,RP74201A,,,
10/6/2025,RCG,Littleton,Bennett,RP74199A,,,
10/6/2025,RCG,Littleton,Bennett,RP74200A,,,
10/6/2025,RCG,Littleton,Bennett,RP74192A,,,
10/6/2025,RCG,Littleton,Bennett,RP74189A,,,
10/6/2025,RCG,Littleton,Bennett,RP74187A,,,
10/6/2025,RCG,Brighton,Bennett,RP74957A,,,
10/6/2025,RCG,Brighton,Bennett,RP74961A,,,
10/6/2025,RCG,Brighton,Bennett,RP74964A,,,
10/9/2025,RCG,Brighton,Bennett,RP74960A,,,
10/9/2025,RCG,Brighton,Bennett,RP74956A,,,
10/9/2025,RCG,Brighton,Bennett,RP74951A,,,
10/9/2025,RCG,Littleton,Bennett,RP74183A,,,
10/9/2025,RCG,Littleton,Bennett,RP74180A,,,
10/9/2025,RCG,Littleton,Bennett,RP74185A,,,
10/9/2025,RCG,Brighton,Bennett,RP74954A,,,
10/9/2025,RCG,Brighton,Bennett,RP74963A,,,
10/9/2025,RCG,Brighton,Bennett,RP77589A,,,
10/10/2025,RCG,Littleton,Bennett,RP79268A,,,
10/10/2025,RCG,Littleton,Bennett,RP79273A,,,
10/10/2025,RCG,Littleton,Bennett,RP79263A,,,
10/10/2025,RCG,Littleton,Bennett,RP79272A,,,
10/10/2025,RCG,Littleton,Bennett,RP79261A,,,
10/10/2025,RCG,Littleton,Bennett,RP79262A,,,
10/13/2025,RCG,Littleton,Bennett,RP79269A,,,
10/13/2025,RCG,Littleton,Bennett,RP79267A,,,
10/13/2025,RCG,Littleton,Bennett,RP79266A,,,
10/13/2025,RCG,Littleton,Bennett,RP79274A,,,
10/13/2025,RCG,Littleton,Bennett,RP79271A,,,
10/13/2025,RCG,Littleton,Bennett,RP79264A,,,
10/13/2025,Ready,Denver,Aurora,,,,
10/13/2025,Ready,Denver,Aurora,,,,
10/13/2025,Ready,Denver,Aurora,,,,
10/14/2025,RCG,Brighton,Bennett,RP81633A,,,
10/14/2025,RCG,Brighton,Bennett,RP80199A,,,
10/14/2025,RCG,Brighton,Bennett,RP80198A,,,
10/14/2025,RCG,Brighton,Bennett,RP80202A,,,
10/14/2025,RCG,Brighton,Bennett,RP80200A,,,
