Load Number,Amount,SmartTrucker Date,Bank Deposit Date,Description
BATCH_PAYMENT,$4085.55,Apr 03 2025,04/04/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$1389.36,Apr 04 2025,04/08/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$467.98,Apr 06 2025,04/08/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$875.53,Apr 07 2025,04/09/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$424.97,Apr 09 2025,04/11/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$2213.32,Apr 15 2025,04/16/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$2120.57,Apr 18 2025,04/21/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$4716.36,Apr 30 2025,05/01/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$2126.27,May 09 2025,05/12/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$984.70,May 14 2025,05/16/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$1394.17,May 20 2025,05/22/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$950.56,May 25 2025,05/28/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$2771.78,Jun 01 2025,06/03/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$1099.11,Jun 06 2025,06/09/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$5100.94,Jun 17 2025,06/18/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$4025.00,Jun 20 2025,06/24/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$2651.00,Jun 26 2025,06/27/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$1803.78,Jun 26 2025,06/27/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$3461.07,Jun 30 2025,07/02/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$4064.70,Jul 09 2025,07/10/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$4840.62,Jul 14 2025,07/16/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$2863.63,Jul 17 2025,07/21/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$5239.42,Jul 24 2025,07/28/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$4791.94,Jul 29 2025,07/31/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$4813.38,Aug 01 2025,08/05/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$2899.39,Aug 06 2025,08/07/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$3569.31,Aug 08 2025,08/12/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$584.97,Aug 10 2025,08/12/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$1642.81,Aug 11 2025,08/13/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$4694.31,Aug 14 2025,08/15/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$1637.89,Aug 19 2025,08/21/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$5364.17,Aug 25 2025,08/27/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$877.44,Aug 26 2025,08/27/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$1225.79,Aug 30 2025,09/03/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$953.97,Sep 02 2025,09/04/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$2493.91,Sep 04 2025,09/08/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$4882.62,Sep 09 2025,09/10/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$2967.76,Sep 10 2025,09/11/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$1758.82,Sep 13 2025,09/16/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$4336.61,Sep 19 2025,09/22/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$3100.15,Sep 23 2025,09/25/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$5602.64,Oct 01 2025,10/03/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$1499.67,Oct 02 2025,10/03/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$950.58,Oct 03 2025,10/06/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$3078.97,Oct 04 2025,10/07/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$151.12,Oct 06 2025,10/07/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$146.25,Oct 07 2025,10/08/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$1135.83,Oct 07 2025,10/09/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$165.75,Oct 08 2025,10/09/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$745.87,Oct 08 2025,10/10/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$1199.03,Oct 11 2025,10/15/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$2146.93,Oct 14 2025,10/15/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$1555.06,Oct 15 2025,10/17/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$1199.03,Oct 17 2025,10/15/2025,S PROVISIONS LLC batch payment
BATCH_PAYMENT,$4007.93,Oct 20 2025,10/22/2025,S PROVISIONS LLC batch payment
