Load #,Company,Amount Paid,Date Paid
OKWT tulsa,Legends Auto Sales,$200.00,
20915198,CarsArrive,$175.00,
EF-69271,Expedited,$125.00,
83755201,United,$150.00,
83755171,United,$150.00,
36141192,Sakaem Logistics,$250.00,
130908,Carvana,$100.80,
131175,Carvana,$96.00,
131176,Carvana,$172.80,
20942199,CarsArrive,$180.00,
83829674,United,$275.00,
20937743,CarsArrive,$200.00,
31540-48280,RPM,$345.00,
31591-00508,RPM,$190.00,
31510-34970,RPM,$125.00,
20942281,CarsArrive,$205.00,
20952928,CarsArrive,$190.00,
83867925,United,$338.19,
31516-15445,RPM,$375.00,
131947,Carvana,$259.00,
132424,Carvana,$110.00,
83874162,United,$313.67,
31545-60501,RPM,$375.00,
31573-97487,RPM,$225.00,
31503-75968,RPM,$75.00,
31464-33935,Anew Transport,$200.00,
31448-64178,Anew Transport,$225.00,
131947,Carvana,$259.00,
132424,Carvana,$110.00,
31581-37954,RPM,$75.00,
219069,Montway,$175.00,
F8254903,Interstate Brokers,$150.00,
14296751,Acertus,$200.00,
20953950,CarsArrive,$185.00,
20955781,CarsArrive,$205.00,
0611,Chaco's Auto Sales,$190.00,
83897027,United,$341.92,
10448378333,Ready,$160.00,4/1/2025
6638,Chaco's Auto Sales,$190.00,
8565,Chaco's Auto Sales,$150.00,
14332027,Acertus,$160.00,
JARB918,One Call Logistics,$400.00,
20970268,CarsArrive,$180.00,
31409-55437,Anew Transport,,
EF-71165D,Expedited,$330.00,
31531-26262,RPM,$390.00,
20979887,CarsArrive,$145.00,
31552-25485,RPM,$250.00,
31532-02093,RPM,$375.00,
14338399,Acertus,$125.00,
14394067,Acertus,$115.00,
14338383,Acertus,$125.00,
14332179,Acertus,$250.00,
31584-21850,RPM,$150.00,
20980556,CarsArrive,$140.00,
31505-44178,RPM,$260.00,
EF-71514,Expedited,$345.00,
31511-07657,RPM,$190.00,
31516-60990,RPM,$350.00,
31582-22724,RPM,$263.00,
31519-81770,RPM,$105.00,
31591-86213,RPM,$100.00,
21016834,CarsArrive,$170.00,
21015920,CarsArrive,$185.00,
EF-72127,Expedited,$115.00,
31547-86879,RPM,$400.00,
31536-89073,RPM,$92.00,
31510-97060,RPM,$262.00,
31576-04591,RPM,$375.00,
31531-13602,RPM,$335.00,
31577-69431,RPM,$140.00,
31522-65410,RPM,$130.00,
077465S,RC Logistics LLC,$150.00,
ETR12151,Express 4x4,$100.00,3/10
ETR12150,Express 4x4,$100.00,3/10
ETR12149,Express 4x4,$150.00,3/10
20358538,CarsArrive,$95.00,3/10
10366787452,Ready,$165.00,3/6
20387444,CarsArrive,$95.00,3/10
20358539,CarsArrive,$90.00,
LP106050,Verily,$200.00,3/10
101335 / 6185,Nationwide United,$700.00,3/7
81565655,United,$166.66,3/12
98427340,ACV,$90.00,
81579850,United,$140.00,
30939364,ACV,$85.00,
81156126,United,$175.00,
102915,Carvana,$155.52,
81617623,United,$140.00,
10366126559,Ready,$208.15,3/11?
EF-56625,Expedited,$300.00,
103418,Carvana,$240.00,
ETR12313,Express 4x4,$125.00,
30285,Broadreach,$175.00,
43101461,ACV,$165.00,
LF240007B,KB Freight,$115.00,
20400966,CarsArrive,$160.00,
4634542,Redline Motorsports,$150.00,
81672882,United,$75.00,
81620672,United,$80.00,
81654549,United,$75.00,
103839,Carvana,$90.00,
EF-57074,Expedited,$375.00,3/19
31451-02855,Anew Tansport,$275.00,
31488-38024,Anew Tansport,$115.00,
10371705745,Ready,$73.98,5/15?
10371705786,Ready,$73.98,5/15?
81672882,United,$75.00,
81654549,United,$75.00,
81620672,United,$80.00,
5385695,CarShipCentral,$300.00,
48109082,ACV,$175.00,
20418730,CarsArrive,$160.00,3/27
20415056,CarsArrive,$145.00,3/27
10371950289,Central,$135.00,
5667977,Direct Connect,$125.00,3/20
30562947-XT,Xpress Auto,$175.00,
20389496,CarsArrive,$100.00,3/27
20433982,CarsArrive,$75.00,3/27
10372490581,Central,$75.00,
104641,Carvana,$180.00,
12583881,Acertus,$150.00,
LP106402,Verily,$150.00,
20243518,Logi Transports,$300.00,
LP106496,Verily,$200.00,
VS914479DNI,Verily,$200.00,
20443033,CarsArrive,$135.00,3/27
20443177,CarsArrive,$160.00,3/27
20436147,CarsArrive,$105.00,3/27
20436148,CarsArrive,$105.00,3/27
ENRVC-SK,One Call,$1900.00,3/27
35453069,Monarch,$850.00,
627908,Preowned,$753.00,4/4
RN19213A,RCG,$1400.00,4/4
83411118,United,$325.00,
83411117,United,$325.00,
SGLB-3590-NBA27494,Expedited,$125.00,
20803502,CarsArrive,$160.00,
6783011,Competition Auto,$150.00,
126613,Carvana,$330.00,
83339322,United,$118.12,
83498353,United,$134.11,
83504709,United,$170.00,
