Load #,Company,Amount Paid,Date Paid
RN53049A,RCG,$118.00,
RN53050A,RCG,$75.00,
RN53745A,RCG,$75.00,
13058863,Acertus,$175.00,
10393628671,Ready,$85.64,4/1/2025
10446,Super??,$80.00,
10394325196,Ready,$100.00,4/1/2025
10396451358,Ready,$80.00,4/1/2025
10397717393,Ready,$80.00,4/1/2025
10396935897,Ready,$80.00,4/1/2025
82456865,United,$60.00,
82449805,United,$160.00,
82457414,United,$80.00,
82449793,United,$160.00,
82449798,United,$160.00,
10395699876,Ready,$100.00,4/1/2025
10396646199,Ready,$100.00,4/1/2025
10398399986,Ready,$100.00,4/1/2025
10393078094,Ready,$100.00,4/1/2025
10395636397,Ready,$100.00,4/1/2025
10396041641,Ready,$75.98,4/1/2025
RN56431A,RCG,$75.00,
RN56432A,RCG,$75.00,
RN56433A,RCG,$75.00,
10446D,Logistic Transit,$80.00,
RN58275A,RCG,$75.00,
RN58276A,RCG,$75.00,
BA-531803,ING Solutions,$150.00,
10396451486,Ready,$100.00,4/1/2025
10397101445,Ready,$80.00,4/1/2025
10397107028,Ready,$78.93,4/1/2025
13119865,Acertus,$85.00,
13119863,Acertus,$100.00,
13119861,Acertus,$85.00,
13119855,Acertus,$85.00,
EF-61906,Expedited,$70.00,
5669652,Direct Connect,$100.00,
13169019,Acertus,$100.00,
13117039,Acertus,$100.00,
RN59138A,RCG,$75.00,
RN59136A,RCG,$75.00,
RN59137A,RCG,$75.00,
RN59134A,RCG,$75.00,
RN59135A,RCG,$105.00,
RN57875A,RCG,$75.00,
10401985970,Ready,$100.00,4/1/2025
10401084344,Ready,$125.00,4/1/2025
10398959863,Ready,$80.00,4/1/2025
10397787050,Ready,$80.00,4/1/2025
10397152453,Ready,$80.00,4/1/2025
10397735215,Ready,$80.00,4/1/2025
10401137374,Ready,$80.00,4/1/2025
10399440537,Ready,$80.00,4/1/2025
10399816626,Ready,$80.00,4/1/2025
114001,Carvana,$75.00,
RN60463A,RCG,$120.00,
RN60409A,RCG,$75.00,
10399665740,Ready,$80.00,4/1/2025
10401985352,Ready,$80.00,4/1/2025
10392916292,Ready,$150.00,4/1/2025
10393668337,Ready,$150.00,4/1/2025
10398493352,Ready,$150.00,4/1/2025
10398747764,Ready,$100.00,4/1/2025
10402169876,Ready,$100.00,4/1/2025
13221165,Acertus,$85.00,
13199415,Acertus,$85.00,
13145151,Acertus,$235.00,
13117045,Acertus,$240.00,
13119793,Acertus,$180.00,
10398493329,Ready,$150.00,4/1/2025
10398493353,Ready,$150.00,4/1/2025
10706,Logistic Transit,$80.00,
150159,Epic Matrix,$100.00,
5823402,Crooza,$125.00,
RN63383A,RCG,$75.00,
RN63381A,RCG,$75.00,
RN63379A,RCG,$75.00,
RN63377A,RCG,$75.00,
RN63382A,RCG,$75.00,
RN63380A,RCG,$75.00,
RN64177A,RCG,$75.00,
RN63384A,RCG,$75.00,
RN63378A,RCG,$75.00,
1465044,Reindeer,$450.00,
1465040,Reindeer,$450.00,
13119859,Acertus,$90.00,
20850676,Logi Transports,$900.00,
20998335,Monarch Transport,$475.00,
5442201,Movewheels,$350.00,
HBRC,Bel-Transport,$1000.00,
BISH-049116,One Call Logistics,$3700.00,
20901915,Get It Done,$5200.00,
CC-5982,Cierta,$950.00,
13643287,Acertus,$155.00,
13643289,Acertus,$150.00,
13643291,Acertus,$125.00,
13643297,Acertus,$200.00,
13643299,Acertus,$125.00,
13643301,Acertus,$150.00,
13643303,Acertus,$125.00,
13643305,Acertus,$150.00,
13643319,Acertus,$225.00,
13643321,Acertus,$125.00,
13643325,Acertus,$225.00,
13643327,Acertus,$150.00,
13643329,Acertus,$150.00,
13650553,Acertus,$150.00,
13655701,Acertus,$125.00,
13655703,Acertus,$125.00,
13655705,Acertus,$150.00,
13643323,Acertus,$150.00,
12603059,Acertus,$270.00,4/21
12712675,Acertus,$80.00,4/8
12712671,Acertus,$80.00,4/8
12712667,Acertus,$80.00,4/8
12712663,Acertus,$80.00,4/8
RN30625A,RCG,$75.00,4/9
RN30628A,RCG,$75.00,4/8
RN30626A,RCG,$75.00,4/9
10380667408,Ready,$130.00,4/1/2025
10382744250,Ready,$80.00,4/1/2025
10381548267,Ready,$71.23,4/1/2025
12734881,Acertus,$100.00,4/8
10383076696,Ready,$93.82,4/1/2025
81753682,United,$240.00,4/9
82061449,United,$240.00,4/9
RN32951A,RCG,$75.00,4/11
10382282333,Ready,$80.57,4/1/2025
10383554915,Ready,,$50
10383947904,Ready,,$50
10382534905,Ready,$74.49,4/1/2025
10381176609,Ready,$100.00,4/1/2025
10381176600,Ready,$100.00,4/1/2025
10382744294,Ready,$80.00,4/1/2025
12735079,Acertus,$90.00,4/16
12674293,Acertus,$100.00,4/21
107124,Carvana,$92.40,4/11
10381535283,Ready,$77.69,4/1/2025
10381534907,Ready,$77.69,4/1/2025
10383616088,Ready,$77.69,4/1/2025
10385592493,Ready,$77.69,4/1/2025
10385592488,Ready,$77.69,4/1/2025
10385592495,Ready,$77.69,4/1/2025
10385592472,Ready,$77.69,4/1/2025
10385592492,Ready,$77.69,4/1/2025
12766277,Acertus,$100.00,4/16
12766303,Acertus,$85.00,4/16
12766275,Acertus,$85.00,4/16
10382382350,Ready,$72.06,4/1/2025
10382499017,Ready,$74.49,4/1/2025
10385712187,Ready,$74.49,4/1/2025
EF-59604,Expedited,$80.00,4/15
EF-159393,Expedited,$80.00,4/15
10385021041,Ready,$70.64,4/1/2025
10386144354,Ready,$72.06,4/1/2025
10382744060,Ready,$75.72,4/1/2025
10385624834,Ready,$140.01,4/1/2025
12752503,Acertus,$90.00,4/16
12785749,Acertus,$85.00,4/16
12735259,Acertus,$103.00,4/16
10382643452,Ready,$77.69,4/1/2025
10385669200,Ready,$80.00,4/1/2025
10385724283,Ready,$77.69,4/1/2025
10387487268,Ready,$74.49,4/1/2025
10385747325,Ready,$74.49,
10384019704,Ready,$100.00,4/1/2025
10383763593,Ready,$93.82,4/1/2025
10385462908,Ready,$79.60,4/1/2025
10384765267,Ready,$77.69,4/1/2025
10386353381,Ready,$77.69,4/1/2025
20521746,CarsArrive,$85.00,4/21
10386204787,Ready,$77.69,4/1/2025
10384944061,Ready,$77.69,4/1/2025
10384943847,Ready,$77.69,4/1/2025
82186684,United,$240.00,4/21
82164204,United,$80.00,4/21
82174858,United,$80.00,4/21
82152081,United,$80.00,4/21
10385741630,Ready,$74.49,4/1/2025
10383922714,Ready,$74.49,4/1/2025
10383922717,Ready,$74.49,4/1/2025
10383922698,Ready,$74.49,4/1/2025
10383922716,Ready,$74.49,4/1/2025
10383922718,Ready,$74.49,4/1/2025
12865297,Acertus,$85.00,4/21
12735257,Acertus,$100.00,
12876327,Acertus,$100.00,4/21
10386105708,Ready,$100.00,4/1/2025
10386104855,Ready,$80.00,4/1/2025
10386547114,Ready,$80.00,4/1/2025
10389807006,Ready,$74.49,4/1/2025
12910849,Acertus,$90.00,4/21
12875961,Acertus,$95.00,4/21
12883649,Acertus,$100.00,4/21
EF-60427,Expedited,$80.00,4/23
10388703739,Ready,$100.00,4/1/2025
10387473577,Ready,$125.00,4/1/2025
12914043,Acertus,$100.00,
12913921,Acertus,$100.00,
10389439280,Ready,$80.00,4/1/2025
