Load #,Company,Amount Paid,Date Paid
RN73572A,RCG,$75.00,
RN75019A,RCG,$75.00,
RN73657A,RCG,$75.00,
RN76499A,RCG,$75.00,
RN76075A,RCG,$75.00,
RN76072A,RCG,$75.00,
RN78670A,RCG,$75.00,
RN78672A,RCG,$75.00,
RN78673A,RCG,$75.00,
RN78671A,RCG,$75.00,
10411536594,Ready,$80.00,4/1/2025
10414882098,Ready,$80.00,4/1/2025
RN77745A,RCG,$75.00,
RN77748A,RCG,$118.00,
13542483,Acertus,$115.00,
13522731,Acertus,$175.00,
RN81105A,RCG,$75.00,
RN81106A,RCG,$75.00,
RN79877A,RCG,$120.00,
RN81104A,RCG,$75.00,
13478199,Acertus,$100.00,
13475293,Acertus,$100.00,
RN83932A,RCG,$75.00,
RN83933A,RCG,$75.00,
RN83921A,RCG,$75.00,
RN83928A,RCG,$75.00,
13595209,Acertus,$100.00,
RN83924A,RCG,$75.00,
RN83922A,RCG,$75.00,
RN83927A,RCG,$75.00,
RN83923A,RCG,$75.00,
RN83934A,RCG,$75.00,
RN83930A,RCG,$75.00,
RN86170A,RCG,$75.00,
RN86169A,RCG,$75.00,
RN83931A,RCG,$75.00,
RN87558A,RCG,$75.00,
RN86925A,RCG,$75.00,
10416619381,Ready,$100.00,4/1/2025
RN88081A,RCG,$75.00,
RN88082A,RCG,$75.00,
RN89879A,RCG,$75.00,
RN89874A,RCG,$75.00,
RN89877A,RCG,$75.00,
RN89878A,RCG,$75.00,
RN89880A,RCG,$75.00,
RN89876A,RCG,$75.00,
RN89881A,RCG,$75.00,
RN89883A,RCG,$75.00,
RN89882A,RCG,$75.00,
RN89875A,RCG,$75.00,
10419501816,Ready,$100.00,
10419907520,Ready,$100.00,
RN89884A,RCG,$75.00,
RN89886A,RCG,$75.00,
RN92813A,RCG,$120.00,
RN89885A,RCG,$75.00,
RN92811A,RCG,$75.00,
RN92810A,RCG,$75.00,
RN92812A,RCG,$75.00,
RN92814A,RCG,$75.00,
